episode,steps,ep_reward,avg_speed,energy,wiggle,safety,success
1,5,-91.279,28.013,0.000,0.000,0.000,0
2,3,-88.848,31.285,0.000,0.000,0.000,0
3,2,-90.921,18.927,161.839,0.000,0.000,0
4,2,-92.786,19.847,195.741,0.000,0.000,0
5,5,95.804,52.203,0.000,0.000,0.000,1
6,2,-91.745,17.513,105.469,0.000,0.000,0
7,2,-91.889,15.039,17.697,0.000,0.000,0
8,3,-91.004,0.000,0.000,0.217,0.000,0
9,2,-91.648,16.537,59.183,0.000,0.245,0
10,1,-90.000,0.000,0.000,0.186,0.000,0
11,4,-87.906,0.000,0.000,0.833,0.000,0
12,1,-92.186,3.893,11.642,0.000,0.000,0
13,1,-94.122,5.788,36.800,0.000,0.000,0
14,2,-91.733,21.194,204.207,0.000,0.000,0
15,2,-91.583,17.545,84.500,0.000,0.000,0
16,2,-91.233,18.347,133.662,0.000,0.000,0
17,2,-92.032,18.763,160.205,0.000,0.000,0
18,2,-90.661,20.112,223.950,0.000,0.784,0
19,4,-86.514,42.277,0.000,0.000,0.000,0
20,3,-90.019,28.643,0.000,0.000,0.000,0
21,4,-87.124,42.241,0.000,0.000,0.000,0
22,5,98.291,52.568,0.000,0.000,0.000,1
23,1,-94.085,5.082,31.781,0.000,0.000,0
24,1,-91.619,7.031,53.428,0.000,0.000,0
25,3,-91.886,0.000,0.000,0.562,0.003,0
26,3,-91.836,31.186,0.000,0.000,0.000,0
27,2,-91.629,17.104,61.514,0.000,0.000,0
28,2,-91.860,15.867,18.807,0.000,0.433,0
29,3,-93.218,28.468,0.000,0.000,0.000,0
30,2,-92.238,17.828,107.662,0.000,0.919,0
31,2,-91.877,0.000,0.000,0.312,0.000,0
32,2,-93.288,0.000,0.000,0.433,0.000,0
33,1,-91.579,6.870,52.064,0.000,0.000,0
34,5,96.722,0.000,0.000,0.000,0.000,1
35,2,-92.195,0.000,0.000,0.896,0.234,0
36,2,-92.407,19.533,192.107,0.000,0.000,0
