episode,steps,ep_reward,avg_speed,energy,wiggle,safety,success
37,2,-90.720,18.277,133.069,0.000,0.602,0
38,1,-91.630,7.856,69.149,0.000,0.000,0
39,2,-92.952,17.637,85.007,0.000,0.000,0
40,1,-93.696,5.772,36.692,0.000,0.000,0
41,3,-96.175,31.065,0.000,0.000,0.179,0
42,2,-92.010,16.471,39.260,0.000,0.000,0
43,4,-86.381,41.275,0.000,0.000,0.005,0
44,3,-91.142,31.696,0.000,0.000,0.000,0
45,1,-92.021,6.357,40.874,0.000,0.000,0
46,1,-91.474,6.583,49.656,0.000,0.946,0
47,1,0.000,0.000,0.000,0.000,0.000,0
48,3,-92.089,27.617,0.000,0.000,0.000,0
49,3,-96.029,31.824,0.000,0.000,0.584,0
50,1,0.000,0.000,0.000,0.000,0.000,0
51,11,-91.578,26.145,0.000,0.000,0.000,0
52,2,-91.839,20.121,224.067,0.000,0.000,0
53,1,-92.210,6.532,42.135,0.000,0.640,0
54,5,-83.471,52.587,0.000,0.000,0.000,0
55,2,-93.257,18.747,160.050,0.000,0.000,0
56,2,-92.106,18.487,112.288,0.000,0.000,0
57,2,-90.623,20.127,199.004,0.000,0.000,0
58,1,-91.751,6.685,43.235,0.000,0.000,0
59,2,-93.027,18.199,132.415,0.000,0.107,0
60,2,-92.267,16.096,38.243,0.000,0.000,0
61,1,-92.825,6.128,32.657,0.000,0.000,0
62,2,-92.007,17.409,83.745,0.000,0.000,0
63,2,-91.071,19.993,222.387,0.000,0.000,0
64,7,-88.713,16.185,96.355,0.000,0.760,0
65,1,-93.756,6.815,44.175,0.000,0.000,0
66,3,-90.707,28.085,0.000,0.000,0.153,0
67,3,-88.601,31.587,0.000,0.000,0.000,0
68,1,0.000,0.000,0.000,0.000,0.000,0
69,3,-92.394,28.691,0.000,0.000,0.000,0
70,1,0.000,0.000,0.000,0.000,0.000,0
71,7,-88.686,0.000,0.000,0.000,0.000,0
72,2,-92.584,16.068,19.079,0.000,0.000,0
73,5,98.543,52.268,0.000,0.000,0.000,1
74,4,-87.391,41.875,0.000,0.000,0.002,0
75,4,-86.526,41.850,0.000,0.000,0.817,0
76,5,98.335,52.517,0.000,0.000,0.000,1
77,1,-90.421,8.566,85.732,0.000,0.525,0
78,15,-90.926,38.595,0.000,0.000,0.000,0
79,2,-91.743,17.425,83.834,0.000,0.000,0
80,2,-91.059,20.782,199.386,0.000,0.835,0
81,2,-91.193,17.962,108.599,0.000,0.184,0
82,1,0.000,0.000,0.000,0.000,0.000,0
83,5,-92.494,0.000,0.000,1.000,0.084,0
84,1,-89.971,3.553,6.963,0.000,0.000,0
85,2,-92.533,18.852,137.952,0.000,0.000,0
86,2,-91.941,0.000,0.000,0.197,0.000,0
87,6,-93.047,16.808,120.820,0.000,0.697,0
88,2,-92.206,18.616,113.199,0.000,0.000,0
89,5,97.262,52.049,0.000,0.000,0.000,1
90,2,-90.665,20.522,196.355,0.000,0.000,0
91,2,-92.298,18.087,109.476,0.000,0.000,0
92,2,-91.449,16.669,59.724,0.000,0.000,0
93,3,-94.322,27.679,0.000,0.000,0.000,0
94,2,-91.018,19.047,139.622,0.000,0.000,0
95,2,-91.202,17.212,82.652,0.000,0.000,0
96,2,-91.857,16.035,38.077,0.000,0.901,0
97,4,-87.761,42.593,0.000,0.000,0.000,0
98,1,-91.286,7.897,78.365,0.000,0.000,0
99,1,-93.296,5.254,27.460,0.000,0.000,0
100,9,-93.229,0.000,0.000,0.293,0.645,0
101,4,-88.746,0.000,0.000,0.371,0.000,0
102,2,-90.851,15.877,37.649,0.000,0.700,0
103,3,-91.420,28.425,0.000,0.000,0.000,0
104,1,0.000,0.000,0.000,0.000,0.000,0
105,1,-91.970,4.102,12.377,0.000,0.000,0
106,1,-92.216,8.082,80.403,0.000,0.000,0
107,6,-88.075,0.000,0.000,1.000,0.000,0
108,4,-86.683,41.886,0.000,0.000,0.851,0
109,2,-90.452,19.863,195.935,0.000,0.000,0
110,2,-91.211,18.366,133.821,0.000,0.000,0
111,1,0.000,0.000,0.000,0.000,0.000,0
112,2,-91.399,17.340,83.361,0.000,0.000,0
113,3,-91.176,28.176,0.000,0.000,0.000,0
114,1,-92.230,4.738,14.618,0.000,0.000,0
115,4,-87.183,0.000,0.000,0.406,0.000,0
116,2,-93.778,17.796,85.898,0.000,0.000,0
117,1,-90.588,2.736,2.530,0.000,0.000,0
118,2,-91.161,0.000,0.000,0.000,0.000,0
119,2,-92.246,17.301,83.148,0.000,0.000,0
120,8,96.040,30.503,0.000,0.000,0.000,1
121,1,-93.100,6.302,47.300,0.000,0.000,0
122,1,-92.051,8.541,85.452,0.000,0.000,0
123,1,-92.007,7.720,67.829,0.000,0.000,0
124,1,-92.164,7.335,64.088,0.000,0.000,0
125,3,-90.121,29.544,0.000,0.000,0.000,0
126,3,-91.713,30.141,0.000,0.000,0.998,0
127,2,-90.664,20.425,202.486,0.000,0.319,0
128,3,-90.548,30.431,0.000,0.000,0.000,0
129,3,-90.377,28.678,0.000,0.000,0.000,0
130,3,-91.926,28.953,0.000,0.000,0.000,0
131,2,-91.411,18.501,112.387,0.000,0.000,0
132,4,-85.679,42.736,0.000,0.000,0.509,0
133,2,-92.674,15.951,18.920,0.000,0.000,0
134,2,-91.070,17.374,62.632,0.000,0.000,0
135,3,-91.322,28.402,0.000,0.000,0.000,0
136,2,-93.294,17.329,83.302,0.000,0.000,0
137,1,-92.224,7.206,54.906,0.000,0.000,0
138,2,-90.929,18.788,137.405,0.000,0.000,0
139,1,-92.070,3.890,11.632,0.000,0.000,0
140,3,-91.559,29.694,0.000,0.000,0.329,0
141,2,-92.882,16.420,39.121,0.000,0.000,0
142,2,-90.537,18.639,113.359,0.000,0.000,0
143,1,-91.339,6.390,48.038,0.000,0.447,0
144,2,-92.301,0.000,0.000,0.646,0.000,0
145,1,0.000,0.000,0.000,0.000,0.000,0
146,7,-94.052,18.675,205.326,0.000,0.000,0
147,2,-92.720,17.047,122.800,0.000,0.542,0
148,1,-91.351,6.797,44.045,0.000,0.000,0
149,2,-91.897,15.232,17.955,0.000,0.000,0
150,3,-90.948,27.652,0.000,0.000,0.421,0
151,2,-91.512,18.743,114.097,0.000,0.000,0
152,2,-93.368,20.054,223.191,0.000,0.000,0
153,2,-91.226,18.110,109.635,0.000,0.000,0
154,2,-92.028,16.779,60.175,0.000,0.014,0
155,4,-89.950,0.000,0.000,0.458,0.794,0
156,1,-93.355,6.658,50.285,0.000,0.000,0
157,8,-90.755,0.000,0.100,0.000,0.000,0
158,4,-86.634,42.004,0.000,0.000,0.000,0
159,1,0.000,0.000,0.000,0.000,0.000,0
160,2,-90.867,0.000,0.000,0.336,0.000,0
161,1,-92.076,6.268,33.491,0.000,0.000,0
162,1,0.000,0.000,0.000,0.000,0.000,0
163,4,-86.978,0.000,0.000,0.000,0.000,0
164,1,-91.525,8.125,71.775,0.000,0.000,0
165,2,-92.302,18.304,133.299,0.000,0.110,0
166,4,-86.341,41.061,0.000,0.000,0.669,0
167,1,-91.592,7.894,78.342,0.000,0.000,0
168,2,-94.252,18.683,136.516,0.000,0.000,0
169,2,-93.130,20.147,224.403,0.000,0.000,0
170,4,-87.987,43.106,0.000,0.000,0.000,0
171,3,-90.933,28.247,0.000,0.000,0.000,0
172,5,-89.853,0.000,0.000,0.943,0.000,0
173,5,100.417,53.502,0.000,0.000,0.000,1
174,2,-91.442,16.997,61.071,0.000,0.000,0
175,2,-92.183,0.000,0.000,0.252,0.093,0
176,2,-91.069,20.707,198.507,0.000,0.000,0
177,1,-93.407,5.487,28.840,0.000,0.758,0
178,2,-91.475,16.788,60.210,0.000,0.000,0
179,4,-87.576,42.329,0.000,0.000,0.782,0
180,8,-90.446,16.808,120.820,0.000,0.996,0
181,6,-92.181,18.675,205.326,0.000,0.000,0
182,5,-80.318,53.410,0.000,0.000,0.000,0
183,5,-91.913,0.000,0.000,0.653,0.296,0
184,2,-92.643,18.992,162.491,0.000,0.000,0
185,3,-88.957,31.378,0.000,0.000,0.000,0
186,3,-88.354,31.964,0.000,0.000,0.000,0
187,5,96.053,52.400,0.000,0.000,0.000,1
188,1,0.000,0.000,0.000,0.000,0.000,0
189,2,-91.494,19.779,170.405,0.000,0.000,0
190,2,-92.554,17.795,107.434,0.000,0.338,0
191,1,-93.008,6.894,44.744,0.000,0.000,0
192,2,-91.396,19.583,168.420,0.000,0.000,0
193,1,-90.177,7.402,56.560,0.000,0.103,0
194,2,-91.927,17.946,86.733,0.000,0.007,0
195,2,-91.444,19.528,167.872,0.000,0.000,0
196,3,-92.061,0.000,0.000,0.609,0.000,0
197,1,-92.683,7.407,56.603,0.000,0.000,0
198,1,-92.423,2.583,7.073,0.000,0.000,0
199,4,-87.762,40.533,0.000,0.000,0.000,0
200,1,-91.347,8.734,87.592,0.000,0.000,0
201,1,-91.707,6.905,44.820,0.000,0.000,0
202,1,-90.000,0.000,0.000,0.000,0.000,0
203,2,-91.751,0.000,0.000,0.065,0.000,0
204,2,-91.754,19.998,197.504,0.000,0.000,0
205,1,-91.653,5.815,36.998,0.000,0.000,0
206,6,101.804,0.000,0.000,0.000,0.000,1
207,1,0.000,0.000,0.000,0.000,0.000,0
208,2,-92.622,15.016,17.667,0.000,0.000,0
209,1,-91.951,4.325,13.162,0.000,0.000,0
210,2,-92.897,16.628,59.556,0.000,0.000,0
211,7,-87.372,27.390,0.000,0.000,0.000,0
212,4,-88.179,41.807,0.000,0.000,0.000,0
213,1,-92.625,6.421,41.335,0.000,0.000,0
214,2,-92.501,18.597,135.782,0.000,0.966,0
215,1,-92.137,4.371,13.322,0.000,0.000,0
216,5,96.915,52.587,0.000,0.000,0.000,1
217,2,-92.037,0.000,0.000,0.608,0.000,0
218,3,-90.078,29.739,0.000,0.000,0.518,0
219,2,-93.160,19.942,196.843,0.000,0.000,0
220,1,-92.207,4.025,12.106,0.000,0.228,0
221,2,-92.854,16.971,60.963,0.000,0.000,0
222,1,-92.756,5.345,28.001,0.000,0.000,0
223,3,-90.464,28.579,0.000,0.000,0.000,0
224,1,-92.352,4.130,12.475,0.000,0.000,0
225,1,-92.620,6.148,32.773,0.000,0.255,0
226,1,-92.337,6.277,33.542,0.000,0.000,0
227,5,-93.086,16.185,96.355,0.000,0.097,0
228,2,-92.354,18.927,138.596,0.000,0.000,0
229,1,0.000,0.000,0.000,0.000,0.000,0
230,4,-84.777,45.186,0.000,0.000,0.000,0
231,2,-91.321,20.205,199.914,0.000,0.000,0
232,1,-91.175,7.936,69.929,0.000,0.000,0
233,2,-93.123,17.476,84.116,0.000,0.000,0
234,4,93.273,44.157,0.000,0.000,0.000,1
235,1,-93.929,7.249,71.288,0.000,0.000,0
236,2,-92.224,18.033,109.092,0.000,0.000,0
237,2,-94.536,19.629,193.224,0.000,0.000,0
238,3,-90.791,27.683,0.000,0.000,0.000,0
239,2,-90.993,18.147,109.891,0.000,0.000,0
240,2,-92.272,16.537,59.183,0.000,0.336,0
241,2,-93.636,18.487,157.472,0.000,0.000,0
242,2,-94.352,18.082,87.494,0.000,0.000,0
243,2,-91.345,18.960,138.876,0.000,0.729,0
244,3,-90.844,31.170,0.000,0.000,0.000,0
245,2,-92.435,16.986,61.026,0.000,0.042,0
246,4,-87.396,0.000,0.000,0.912,0.000,0
247,1,0.000,0.000,0.000,0.000,0.000,0
248,1,-90.000,0.000,0.000,0.066,0.167,0
249,3,-88.639,32.528,0.000,0.000,0.000,0
250,1,-92.985,5.217,21.767,0.000,0.000,0
251,2,-92.376,16.453,58.836,0.000,0.534,0
252,4,-87.216,42.068,0.000,0.000,0.000,0
253,2,-92.804,16.018,38.031,0.000,0.000,0
254,1,-92.102,4.695,14.467,0.000,0.000,0
255,1,0.000,0.000,0.000,0.000,0.000,0
256,3,-90.859,0.000,0.000,0.469,0.710,0
257,5,-91.596,27.390,0.000,0.000,0.000,0
258,4,-86.680,40.553,0.000,0.000,0.126,0
259,1,-92.878,5.084,21.142,0.000,0.000,0
260,1,-92.514,5.079,26.428,0.000,0.000,0
261,1,-91.079,2.601,2.374,0.000,0.000,0
262,4,-86.145,42.432,0.000,0.000,0.000,0
263,1,-91.889,3.964,7.923,0.000,0.651,0
264,3,-92.920,0.000,0.000,0.098,0.000,0
265,3,-90.268,29.314,0.000,0.000,0.810,0
266,2,-94.356,0.000,0.000,0.341,0.000,0
267,1,-93.904,7.186,54.736,0.000,0.000,0
268,4,-88.380,40.971,0.000,0.000,0.000,0
269,2,-92.523,20.214,200.020,0.000,0.000,0
270,1,-92.362,4.719,19.420,0.000,0.299,0
271,5,100.081,53.296,0.000,0.000,0.000,1
272,3,-91.082,29.194,0.000,0.000,0.000,0
273,2,-95.524,16.657,59.675,0.000,0.000,0
274,2,-90.491,20.594,204.472,0.000,0.000,0
275,3,-87.736,31.583,0.000,0.000,0.494,0
276,1,-91.167,8.433,84.268,0.000,0.000,0
277,3,-91.958,29.179,0.000,0.000,0.000,0
278,4,-89.414,41.368,0.000,0.000,0.950,0
279,2,-96.706,0.000,0.000,0.111,0.000,0
280,3,-93.036,30.191,0.000,0.000,0.000,0
281,5,98.098,52.731,0.000,0.000,0.000,1
282,5,99.488,52.547,0.000,0.000,0.000,1
283,3,-92.470,0.000,0.000,0.515,0.000,0
284,1,-90.411,6.089,32.424,0.000,0.075,0
285,1,-92.583,4.935,20.437,0.000,0.000,0
286,1,-92.255,5.509,23.153,0.000,0.000,0
287,1,-91.055,8.381,83.685,0.000,0.000,0
288,1,0.000,0.000,0.000,0.000,0.000,0
289,3,-95.298,29.620,0.000,0.000,0.250,0
290,2,-92.487,18.148,109.900,0.000,0.000,0
291,4,-86.602,42.843,0.000,0.000,0.000,0
292,11,96.156,18.675,205.326,0.000,0.000,1
293,2,-91.380,19.261,141.451,0.000,0.000,0
294,3,-97.042,31.551,0.000,0.000,0.286,0
295,3,-92.780,0.000,0.000,0.348,0.000,0
296,1,0.000,0.000,0.000,0.000,0.000,0
297,2,-96.494,15.404,18.185,0.000,0.000,0
298,2,-91.643,17.371,62.620,0.000,0.046,0
299,2,-91.556,18.414,111.775,0.000,0.000,0
300,4,-88.517,0.000,0.000,0.569,0.000,0
301,3,-93.146,17.430,147.106,0.000,0.000,0
302,5,97.968,52.581,0.000,0.000,0.000,1
303,1,-91.741,5.624,29.656,0.000,0.000,0
304,2,-91.991,18.378,111.517,0.000,0.000,0
305,3,-91.127,31.066,0.000,0.000,0.000,0
306,5,95.254,0.000,0.000,0.265,0.000,1
307,1,-91.426,6.647,50.193,0.000,0.170,0
308,5,-84.822,0.000,0.000,0.669,0.000,0
309,2,-91.209,16.219,19.283,0.000,0.000,0
310,2,-91.879,16.275,58.114,0.000,0.000,0
311,2,-90.875,17.250,82.866,0.000,0.000,0
312,2,-90.765,0.000,0.000,0.868,0.000,0
313,2,-91.613,17.489,84.190,0.000,0.000,0
314,4,-86.394,42.737,0.000,0.000,0.000,0
315,2,-91.908,20.540,203.833,0.000,0.000,0
316,2,-93.206,16.886,60.613,0.000,0.000,0
317,2,-92.656,19.315,141.922,0.000,0.000,0
318,1,-92.308,5.824,30.847,0.000,0.000,0
319,2,-92.479,18.283,110.852,0.000,0.000,0
320,4,-89.973,28.635,0.000,0.000,0.000,0
321,1,0.000,0.000,0.000,0.000,0.000,0
322,1,-91.730,7.378,56.356,0.000,0.000,0
323,1,-91.165,2.637,2.415,0.000,0.202,0
324,2,-91.911,0.000,0.000,0.135,0.000,0
325,6,-89.617,18.675,205.326,0.000,0.000,0
326,4,-87.266,0.000,0.000,0.839,0.669,0
327,4,-87.685,43.555,0.000,0.000,0.490,0
328,3,-91.019,30.519,0.000,0.000,0.000,0
329,2,-92.302,18.717,136.800,0.000,0.000,0
330,5,-83.408,52.536,0.000,0.000,0.000,0
331,3,-91.526,28.875,0.000,0.000,0.399,0
332,3,-89.032,31.323,0.000,0.000,0.000,0
333,3,-90.068,33.201,0.000,0.000,0.000,0
334,5,-82.309,52.777,0.000,0.000,0.000,0
335,3,-89.980,30.439,0.000,0.000,0.027,0
336,2,-92.585,17.349,62.528,0.000,0.000,0
337,1,-91.561,6.292,40.413,0.000,0.000,0
338,2,-92.780,16.898,60.664,0.000,0.000,0
339,2,-91.333,0.000,0.000,0.086,0.000,0
340,4,-84.029,45.182,0.000,0.000,0.000,0
341,2,-92.902,17.047,122.800,0.000,0.542,0
342,2,-93.855,18.098,109.551,0.000,0.375,0
343,3,-93.942,0.000,0.000,0.297,0.000,0
344,5,98.237,52.588,0.000,0.000,0.000,1
345,4,-84.820,44.730,0.000,0.000,0.000,0
346,2,-93.852,20.808,199.684,0.000,0.854,0
347,2,-92.654,18.655,136.276,0.000,0.000,0
348,4,97.278,45.870,0.000,0.000,0.000,1
349,2,-92.192,15.562,18.397,0.000,0.000,0
350,7,95.994,42.953,0.000,0.000,0.000,1
351,6,-92.656,28.013,0.000,0.000,0.000,0
352,2,-91.260,16.101,98.200,0.000,0.718,0
353,1,0.000,0.000,0.000,0.000,0.000,0
354,3,-90.852,32.283,0.000,0.000,0.000,0
355,1,-90.974,8.117,80.787,0.000,0.000,0
356,1,-92.735,8.718,87.408,0.000,0.817,0
357,5,99.519,52.967,0.000,0.000,0.000,1
358,2,-91.050,19.943,172.071,0.000,0.000,0
359,1,-91.789,8.552,85.580,0.000,0.000,0
360,1,-92.367,3.890,11.632,0.000,0.000,0
361,1,-91.146,8.725,87.486,0.000,0.000,0
362,3,-91.173,0.000,0.000,0.816,0.656,0
363,2,-91.821,19.346,142.188,0.000,0.000,0
364,4,-86.794,41.734,0.000,0.000,0.808,0
365,1,-91.973,6.286,40.371,0.000,0.000,0
366,1,0.000,0.000,0.000,0.000,0.000,0
367,8,-92.791,16.808,120.820,0.000,0.748,0
368,5,-91.934,16.808,120.820,0.000,0.057,0
369,7,98.134,18.675,205.326,0.000,0.000,1
370,1,-91.877,4.134,12.491,0.000,0.000,0
371,3,-91.148,28.274,0.000,0.000,0.012,0
372,7,-88.630,18.053,175.259,0.000,0.000,0
373,3,-87.617,33.144,0.000,0.000,0.000,0
374,4,-86.783,41.301,0.000,0.000,0.000,0
375,2,-92.631,18.095,87.564,0.000,0.360,0
376,2,-91.439,16.820,60.345,0.000,0.000,0
377,2,-91.451,17.663,85.154,0.000,0.000,0
378,1,-91.157,7.570,66.365,0.000,0.000,0
379,1,-91.504,4.011,8.032,0.000,0.711,0
380,2,-91.842,17.475,84.112,0.000,0.646,0
381,2,-91.255,18.557,112.779,0.000,0.000,0
382,5,96.237,52.499,0.000,0.000,0.000,1
383,1,-92.979,4.951,20.513,0.000,0.255,0
384,2,-90.988,18.301,110.973,0.000,0.000,0
385,1,0.000,0.000,0.000,0.000,0.000,0
386,1,-93.108,7.349,56.116,0.000,0.437,0
387,3,-91.332,0.000,0.000,0.374,0.963,0
388,1,-91.888,4.987,15.500,0.000,0.000,0
389,4,-88.733,39.896,0.000,0.000,0.000,0
390,3,-90.274,28.438,0.000,0.000,0.478,0
391,1,0.000,0.000,0.000,0.000,0.000,0
392,3,-90.406,28.479,0.000,0.000,0.000,0
393,1,0.000,0.000,0.000,0.000,0.000,0
394,1,-93.527,8.786,88.170,0.000,0.000,0
395,3,-92.833,0.000,0.000,0.206,0.000,0
396,3,-92.542,27.456,0.000,0.000,0.014,0
397,5,96.760,52.612,0.000,0.000,0.000,1
398,2,-91.842,16.305,38.809,0.000,0.000,0
399,1,-93.404,6.106,32.522,0.000,0.000,0
400,1,-92.010,5.065,26.346,0.000,0.000,0
401,2,-91.674,17.240,82.810,0.000,0.000,0
402,9,-94.690,0.000,0.000,0.544,0.000,0
403,5,98.618,53.242,0.000,0.000,0.000,1
404,1,-93.831,5.911,31.362,0.000,0.000,0
405,4,-87.618,40.391,0.000,0.000,0.887,0
406,4,-88.389,0.000,0.000,0.997,0.000,0
407,5,-90.401,17.430,147.106,0.000,0.000,0
408,2,-91.634,19.361,190.135,0.000,0.000,0
409,2,-90.936,19.810,195.314,0.000,0.000,0
410,4,-85.124,44.107,0.000,0.000,0.000,0
411,1,-92.946,7.725,76.483,0.000,0.000,0
412,7,-97.212,0.000,0.000,0.168,0.906,0
413,5,97.495,52.238,0.000,0.000,0.000,1
414,3,-90.204,32.666,0.000,0.000,0.000,0
415,3,-90.006,30.176,0.000,0.000,0.000,0
416,2,-91.786,0.000,0.000,0.351,0.338,0
417,38,-95.658,0.000,0.000,0.367,0.642,0
418,1,-91.962,7.041,53.512,0.000,0.000,0
419,2,-91.656,16.752,60.062,0.000,0.000,0
420,3,-90.241,29.797,0.000,0.000,0.457,0
421,3,-89.982,28.096,0.000,0.000,0.591,0
422,3,-88.713,33.667,0.000,0.000,0.000,0
423,5,97.583,52.833,0.000,0.000,0.000,1
424,2,-91.913,0.000,0.000,0.171,0.000,0
425,1,-91.208,1.334,0.915,0.000,0.000,0
426,3,-89.211,31.307,0.000,0.000,0.000,0
427,1,-93.393,7.035,61.187,0.000,0.244,0
428,2,-92.417,19.982,222.240,0.000,0.000,0
429,7,96.565,15.563,73.671,0.000,0.000,1
430,3,-91.664,0.000,0.000,0.057,0.000,0
431,1,-92.617,5.994,38.276,0.000,0.000,0
432,5,-96.819,0.000,0.000,0.236,0.000,0
433,2,-93.555,17.135,61.643,0.000,0.000,0
434,1,-93.422,7.792,68.522,0.000,0.000,0
435,2,-90.756,18.855,137.978,0.000,0.000,0
436,3,-88.567,32.524,0.000,0.000,0.000,0
437,2,-92.150,19.246,141.325,0.000,0.000,0
438,3,-91.840,29.175,0.000,0.000,0.422,0
439,3,-91.295,27.553,0.000,0.000,0.000,0
440,5,-89.916,0.000,0.000,0.135,0.150,0
441,3,-88.327,33.684,0.000,0.000,0.041,0
442,2,-91.117,17.659,85.130,0.000,0.000,0
443,2,-90.784,21.017,202.130,0.000,0.965,0
444,1,0.000,0.000,0.000,0.000,0.000,0
445,3,-93.588,31.422,0.000,0.000,0.027,0
446,4,-87.969,40.260,0.000,0.000,0.000,0
447,2,-91.469,0.000,0.000,1.000,0.000,0
448,4,-87.335,41.061,0.000,0.000,0.669,0
449,1,-91.642,7.273,55.469,0.000,0.000,0
450,3,-92.722,29.312,0.000,0.000,0.000,0
451,3,-90.604,29.313,0.000,0.000,0.627,0
452,3,-91.414,0.000,0.000,0.491,0.000,0
453,1,-93.026,7.881,69.395,0.000,0.000,0
454,3,-88.116,32.291,0.000,0.000,0.000,0
455,2,-91.056,20.818,199.796,0.000,0.000,0
456,1,0.000,0.000,0.000,0.000,0.000,0
457,4,-84.547,45.533,0.000,0.000,0.359,0
458,2,-92.104,18.456,112.065,0.000,0.687,0
459,2,-91.764,20.408,202.287,0.000,0.000,0
460,2,-91.919,15.701,18.584,0.000,0.000,0
461,1,0.000,0.000,0.000,0.000,0.000,0
462,1,-92.307,8.602,86.124,0.000,0.000,0
463,4,-88.590,0.000,0.000,0.278,0.946,0
464,2,-92.734,18.993,162.497,0.000,0.000,0
465,4,-88.625,41.616,0.000,0.000,0.000,0
466,2,-92.023,15.661,37.068,0.000,0.000,0
467,3,-90.260,29.186,0.000,0.000,0.724,0
468,2,-92.027,17.768,85.737,0.000,0.000,0
469,1,-91.885,5.725,30.253,0.000,0.000,0
470,2,-93.309,0.000,0.000,0.516,0.000,0
471,7,97.995,42.953,0.000,0.000,0.000,1
472,2,-91.088,16.665,39.789,0.000,0.000,0
473,2,-91.278,18.958,138.859,0.000,0.000,0
474,1,-90.331,4.735,19.493,0.000,0.287,0
475,4,-90.238,42.529,0.000,0.000,0.000,0
476,1,-92.381,5.279,22.063,0.000,0.000,0
477,1,-91.919,5.437,28.545,0.000,0.000,0
478,1,-91.661,7.852,69.108,0.000,0.000,0
479,3,-90.255,28.364,0.000,0.000,0.000,0
480,2,-92.735,16.706,59.875,0.000,0.000,0
481,4,-88.246,41.889,0.000,0.000,0.897,0
482,2,-92.277,16.838,60.416,0.000,0.000,0
483,3,-90.500,29.282,0.000,0.000,0.370,0
484,1,-91.964,6.807,51.537,0.000,0.000,0
485,3,-88.276,30.930,0.000,0.000,0.000,0
486,3,-91.159,0.000,0.000,0.225,0.000,0
487,1,0.000,0.000,0.000,0.000,0.000,0
488,3,-90.812,31.207,0.000,0.000,0.125,0
489,3,-93.729,28.205,0.000,0.000,0.000,0
490,2,-92.788,16.891,80.886,0.000,0.000,0
491,3,-95.183,31.838,0.000,0.000,0.007,0
492,5,100.055,53.404,0.000,0.000,0.000,1
493,2,-92.426,19.148,140.487,0.000,0.000,0
494,6,-91.048,0.000,0.000,0.112,0.000,0
495,2,-93.214,18.597,113.061,0.000,0.000,0
496,1,0.000,0.000,0.000,0.000,0.000,0
497,3,-90.430,30.514,0.000,0.000,0.250,0
498,2,-93.000,18.118,109.693,0.000,0.555,0
499,3,-88.956,31.587,0.000,0.000,0.000,0
500,7,-90.796,16.808,120.820,0.000,0.064,0
501,1,0.000,0.000,0.000,0.000,0.000,0
502,1,0.000,0.000,0.000,0.000,0.000,0
503,3,-92.001,29.598,0.000,0.000,0.000,0
504,1,-91.737,3.629,7.139,0.000,0.000,0
505,2,-92.261,18.148,131.984,0.000,0.000,0
506,2,-91.594,19.860,195.896,0.000,0.266,0
507,2,-92.279,16.935,81.129,0.000,0.110,0
508,2,-91.959,15.909,37.736,0.000,0.142,0
509,2,-90.837,16.768,40.072,0.000,0.000,0
510,1,-91.616,7.071,53.759,0.000,0.000,0
511,3,-88.076,32.393,0.000,0.000,0.845,0
512,2,-91.443,20.417,202.387,0.000,0.000,0
513,3,-91.349,29.431,0.000,0.000,0.225,0
514,4,-86.263,42.570,0.000,0.000,0.379,0
515,1,-90.000,0.000,0.000,0.218,0.515,0
516,1,-91.780,7.155,54.475,0.000,0.000,0
517,3,-95.202,31.422,0.000,0.000,0.016,0
518,2,-90.911,18.780,137.343,0.000,0.000,0
