episode,steps,ep_reward,avg_speed,total_energy,wiggle,safety,success,reason
108,6,-202.722,8.094,296.338,0.093,0.136,0,collision
109,2,50.325,11.947,128.216,0.000,0.254,1,goal
110,2,50.675,13.177,222.963,0.000,0.000,1,goal
111,2,50.551,14.006,218.558,0.000,0.015,1,goal
112,2,50.660,14.075,288.055,0.000,0.000,1,goal
113,2,50.081,12.680,139.191,0.000,0.277,1,goal
114,3,51.035,19.641,292.145,0.000,0.000,1,goal
115,3,-199.187,9.700,316.967,0.125,0.337,0,collision
116,4,-47.716,26.827,316.509,0.000,0.087,1,goal
117,3,-198.789,19.982,317.899,0.000,0.000,0,collision
118,1,50.036,5.727,36.365,0.000,0.000,1,goal
119,2,-199.655,12.714,123.533,0.000,0.381,0,collision
120,3,50.665,10.134,300.100,0.118,0.382,1,goal
121,1,-200.112,3.424,10.000,0.000,0.000,0,collision
122,2,-199.588,13.281,204.505,0.000,0.142,0,collision
123,2,-199.451,13.125,201.495,0.000,0.007,0,collision
124,1,49.850,3.303,6.381,0.000,0.000,1,goal
125,1,0.000,0.000,0.000,0.000,0.000,0,not_found
126,2,50.530,13.480,208.340,0.000,0.000,1,goal
127,1,0.000,0.000,0.000,0.000,0.000,0,not_found
128,2,50.482,13.272,224.921,0.000,0.017,1,goal
129,2,-199.672,13.825,215.037,0.000,0.033,0,collision
130,5,-47.569,22.085,299.019,0.106,0.000,1,goal
131,2,50.592,14.277,268.874,0.000,0.000,1,goal
132,1,50.134,7.574,66.407,0.000,0.000,1,goal
133,2,-199.503,12.935,160.406,0.000,0.031,0,collision
134,3,-199.189,10.079,298.125,0.050,0.301,0,collision
135,3,-198.566,20.621,318.314,0.000,0.091,0,collision
136,2,50.557,14.521,274.360,0.000,0.000,1,goal
137,4,-198.202,26.709,307.391,0.000,0.100,0,collision
138,3,-198.501,20.671,291.967,0.000,0.000,0,collision
139,1,49.895,5.361,22.454,0.000,0.000,1,goal
140,1,49.847,5.254,27.460,0.000,0.000,1,goal
141,5,-197.484,32.023,316.813,0.000,0.012,0,collision
142,2,49.992,12.695,156.462,0.000,0.248,1,goal
143,1,-199.936,6.393,48.057,0.000,0.119,0,collision
144,2,50.489,12.829,176.771,0.000,0.066,1,goal
145,1,0.000,0.000,0.000,0.000,0.000,0,not_found
146,2,50.420,13.376,227.072,0.000,0.017,1,goal
147,2,50.540,13.939,238.793,0.000,0.000,1,goal
148,3,-199.313,9.999,295.232,0.304,0.152,0,collision
149,4,-198.093,26.484,298.229,0.000,0.137,0,collision
150,1,49.893,5.504,28.946,0.000,0.000,1,goal
151,1,50.015,5.583,29.410,0.000,0.000,1,goal
152,2,50.361,12.713,123.518,0.000,0.164,1,goal
153,2,50.541,14.530,274.565,0.000,0.000,1,goal
154,3,50.889,20.329,308.658,0.000,0.011,1,goal
155,2,50.706,14.422,296.354,0.000,0.177,1,goal
156,1,49.870,4.495,18.363,0.000,0.000,1,goal
157,1,50.027,5.347,28.013,0.000,0.000,1,goal
158,4,51.870,26.719,300.141,0.000,0.000,1,goal
159,4,-198.007,26.965,294.860,0.000,0.000,0,collision
160,3,50.765,19.961,299.808,0.000,0.138,1,goal
161,4,-197.726,27.522,304.495,0.000,0.006,0,collision
162,5,-47.293,32.891,307.740,0.000,0.000,1,goal
163,2,50.411,12.604,172.774,0.000,0.043,1,goal
164,1,50.336,8.143,81.067,0.000,0.000,1,goal
165,1,49.932,4.984,15.488,0.000,0.000,1,goal
166,4,51.712,26.010,319.473,0.000,0.015,1,goal
167,3,50.739,19.220,319.611,0.000,0.000,1,goal
168,2,50.648,13.930,284.608,0.000,0.040,1,goal
169,1,49.837,4.829,19.937,0.000,0.000,1,goal
170,2,50.522,13.786,193.917,0.000,0.082,1,goal
171,2,-199.665,13.073,145.139,0.000,0.350,0,collision
172,1,49.745,5.219,21.778,0.000,0.000,1,goal
173,1,0.000,0.000,0.000,0.000,0.000,0,not_found
174,2,50.369,13.128,182.109,0.000,0.000,1,goal
175,4,-198.694,15.756,290.092,0.172,0.411,0,collision
176,4,52.048,26.320,290.594,0.000,0.024,1,goal
177,2,50.506,12.564,154.313,0.000,0.000,1,goal
178,4,-197.800,26.599,293.534,0.000,0.225,0,collision
179,1,0.000,0.000,0.000,0.000,0.000,0,not_found
180,4,51.844,26.715,300.048,0.000,0.000,1,goal
181,2,-199.729,13.537,189.434,0.000,0.129,0,collision
182,1,-199.590,8.566,85.732,0.000,0.525,0,collision
183,3,-198.723,21.218,300.092,0.000,0.317,0,collision
184,1,50.214,8.107,71.598,0.000,0.000,1,goal
185,3,51.038,19.548,289.908,0.000,0.015,1,goal
186,4,51.892,26.498,320.004,0.000,0.024,1,goal
187,2,50.281,4.103,91.019,0.129,0.483,1,goal
188,1,49.892,5.300,22.164,0.000,0.000,1,goal
189,1,49.921,3.952,7.895,0.000,0.000,1,goal
190,5,-47.468,21.855,292.145,0.015,0.000,1,goal
191,1,50.000,0.000,0.000,0.000,0.000,1,goal
192,3,51.115,20.402,305.418,0.000,0.024,1,goal
193,5,-47.358,22.363,307.391,0.066,0.000,1,goal
194,2,-199.469,13.738,234.598,0.000,0.050,0,collision
195,5,-47.930,20.769,352.290,0.000,0.284,1,goal
196,2,-199.506,14.417,248.807,0.000,0.000,0,collision
197,2,50.374,12.281,133.204,0.000,0.026,1,goal
198,2,50.610,13.305,225.618,0.000,0.000,1,goal
199,4,-198.278,25.753,288.205,0.000,0.239,0,collision
200,2,50.775,14.941,308.835,0.000,0.217,1,goal
201,4,-198.457,26.329,302.000,0.000,0.252,0,collision
202,2,-199.604,12.643,155.611,0.000,0.000,0,collision
203,4,-198.324,26.391,296.003,0.000,0.008,0,collision
204,3,-198.914,20.297,297.906,0.000,0.216,0,collision
205,2,-199.616,13.163,146.496,0.000,0.137,0,collision
206,2,50.022,4.572,102.537,0.325,0.479,1,goal
207,6,-197.597,16.178,574.106,0.000,0.066,0,collision
208,1,50.000,0.000,0.000,0.000,0.000,1,goal
