episode,steps,ep_reward,avg_speed,total_energy,wiggle,safety,success,reason
1,6,-205.488,2.332,103.773,0.020,0.174,0,collision
2,2,-199.450,12.567,96.833,0.000,0.492,0,collision
3,3,51.401,20.615,422.981,0.000,0.000,1,goal
4,1,0.000,0.000,0.000,0.000,0.000,0,not_found
5,1,-200.096,5.410,25.172,0.000,0.090,0,collision
6,2,-199.511,13.637,145.762,0.000,0.430,0,collision
7,1,-199.888,7.824,48.772,0.000,0.962,0,collision
8,1,49.992,6.034,20.247,0.000,0.000,1,goal
9,2,-199.432,13.036,125.276,0.000,0.119,0,collision
10,2,-200.115,12.800,78.252,0.000,0.409,0,collision
11,1,-200.007,3.335,2.058,0.000,0.148,0,collision
12,1,-199.896,2.569,4.514,0.000,0.000,0,collision
13,2,50.443,13.031,90.629,0.000,0.003,1,goal
14,2,-199.720,12.613,86.698,0.000,0.514,0,collision
15,2,50.751,14.240,183.059,0.000,0.000,1,goal
16,3,-198.813,21.037,405.873,0.000,0.000,0,collision
17,3,51.577,20.755,415.995,0.000,0.000,1,goal
18,2,-199.556,12.980,101.064,0.000,0.327,0,collision
19,1,0.000,0.000,0.000,0.000,0.000,0,not_found
20,1,-199.998,6.576,31.244,0.000,0.000,0,collision
