#{"t_start": 1769079050.8435593, "env_id": "None"}
r,l,t
-107.096375,12,9.551235
46.392582,22,11.790437
-95.912169,7,14.0168
-116.120869,7,16.575042
-104.770344,4,18.24184
-98.825069,3,20.505389
-107.350085,8,23.598188
-107.212895,13,25.575481
-104.929623,4,27.841301
69.476994,12,29.692733
-91.676278,4,31.99824
-120.224546,8,33.806626
-124.325641,4,36.26104
-142.994114,15,39.887893
-142.706469,11,42.930216
-79.733972,9,44.669396
-97.348355,14,49.482698
-145.936341,7,52.58097
54.432306,12,54.528596
-93.723607,4,57.721757
-130.316849,16,61.71768
-131.770821,10,65.530808
-101.043069,3,67.858105
-101.785854,4,70.499732
-54.228095,8,72.236234
-56.889595,9,73.992868
-106.410664,3,76.299354
39.500934,7,78.251033
-120.017926,10,81.951447
-97.761917,9,85.499735
10.812458,11,87.309022
-107.203066,7,89.796686
-108.166564,5,92.159024
-88.419204,6,95.007284
58.571375,10,96.826265
-35.790828,5,98.374982
-104.000688,4,100.937725
-129.299377,4,103.330145
-122.393968,8,105.240311
-104.992097,4,107.758167
31.204639,4,108.659599
-105.465364,9,111.50212
-92.885928,3,114.11372
0.035466,7,115.849943
58.367755,7,117.573148
12.072994,6,120.059444
-113.545209,6,122.738772
24.816697,4,125.061716
32.11823,10,128.195941
-111.849315,8,131.272772
-109.739029,3,133.879449
-108.525761,6,137.052333
-113.202591,4,139.644522
-113.038858,4,141.463237
-110.999009,4,144.071057
30.343521,6,145.741157
-183.638712,3,148.501814
43.045629,19,150.698045
50.623317,3,152.23472
-94.363772,3,154.563884
-92.776666,4,157.013697
-128.492971,10,160.0015
-91.443156,5,162.584368
-124.855861,13,164.516045
-132.087377,11,167.549307
-110.586131,2,169.842025
-117.951164,6,172.425671
-74.343602,16,173.732253
-149.976777,13,177.120033
-116.357917,4,179.468452
-119.491429,9,182.234126
-139.042765,8,185.148933
-139.990151,11,189.121574
-172.748554,9,191.95531
-94.864387,3,194.317928
-100.62341,10,197.234192
-107.289133,9,200.146011
-113.426105,10,203.806295
62.120345,6,205.756686
49.200891,8,207.528601
-155.714899,14,211.158294
-291.889347,13,215.808697
-43.078725,8,217.61978
30.762779,7,219.404085
-139.233521,10,221.208609
-127.438778,7,224.30777
-118.448791,4,226.833402
-113.807919,7,230.050436
-90.91211,2,232.357083
-173.641802,12,235.768928
-131.242914,16,239.182142
-153.223245,21,241.573553
-113.127714,6,244.459817
-130.451607,13,248.170961
44.511849,3,249.791468
-89.828481,3,252.241476
-95.965066,5,254.837348
-14.942599,15,259.073531
