Episode,Steps,Reward,AvgSpeed,Energy,Success
118,5,88.26,52.12,0.00,1
119,2,-91.25,17.43,73.67,0
120,4,-92.03,0.00,0.00,0
121,2,-90.74,16.19,52.73,0
122,2,-91.73,21.17,147.11,0
123,2,-91.56,17.43,73.67,0
124,3,-92.49,32.37,0.00,0
125,4,-91.80,47.31,0.00,0
126,2,-90.87,16.19,52.73,0
127,4,-92.15,38.60,0.00,0
128,5,87.70,53.86,0.00,1
129,3,-91.75,26.15,0.00,0
130,4,-91.62,0.00,0.00,0
131,4,-92.72,44.82,0.00,0
132,1,-90.07,3.74,6.75,0
133,1,-90.57,11.21,60.20,0
134,7,85.31,43.58,0.00,1
135,2,-90.98,17.43,73.67,0
136,3,-92.12,26.15,0.00,0
137,2,-91.18,17.43,73.67,0
138,2,-91.24,18.68,96.35,0
139,2,-91.12,17.43,73.67,0
140,6,87.66,0.00,0.00,1
141,4,-91.92,0.00,0.00,0
142,2,-90.62,13.70,15.93,0
143,7,85.73,33.62,0.00,1
144,4,-91.30,48.56,0.00,0
145,1,-90.00,0.00,0.00,0
146,3,-92.23,27.39,0.00,0
147,4,-91.92,41.09,0.00,0
148,3,-92.04,28.64,0.00,0
149,1,-90.00,0.00,0.00,0
150,4,-92.41,43.58,0.00,0
151,3,-91.80,0.00,0.00,0
152,3,-92.17,31.13,0.00,0
153,2,-91.44,23.66,205.33,0
154,2,-90.83,17.43,73.67,0
155,4,-91.58,43.58,0.00,0
156,2,-91.66,21.17,147.11,0
157,2,-90.84,17.43,73.67,0
158,2,-90.47,13.70,15.93,0
159,4,-91.45,0.00,0.00,0
160,7,-93.83,26.15,0.00,0
161,9,-94.74,36.11,0.00,0
162,2,-91.19,19.92,120.82,0
163,5,-92.31,44.82,0.00,0
164,3,-91.71,0.00,0.00,0
165,3,-92.14,0.00,0.00,0
166,6,-93.42,13.70,15.93,0
167,3,-92.04,0.00,0.00,0
168,2,-91.39,23.66,205.33,0
169,2,-91.20,21.17,147.11,0
170,3,-91.73,27.39,0.00,0
171,8,-94.60,22.41,175.26,0
172,3,-91.59,31.13,0.00,0
173,3,-91.60,27.39,0.00,0
174,5,87.68,51.54,0.00,1
175,5,-92.05,44.82,0.00,0
176,4,-92.04,0.00,0.00,0
177,2,-91.38,22.41,175.26,0
178,4,-91.64,0.00,0.00,0
179,2,-90.86,13.70,15.93,0
180,2,-91.52,21.17,147.11,0
181,2,-90.98,16.19,52.73,0
182,4,-92.19,48.56,0.00,0
183,5,-92.06,44.82,0.00,0
184,4,-91.99,39.84,0.00,0
185,2,-90.85,16.19,52.73,0
186,2,-91.10,18.68,96.35,0
187,4,-91.97,43.58,0.00,0
188,1,-90.00,0.00,0.00,0
189,4,87.88,48.56,0.00,1
190,4,-92.07,0.00,0.00,0
191,3,-91.55,36.11,0.00,0
192,2,-91.44,22.41,175.26,0
193,4,-92.25,39.84,0.00,0
194,4,-92.29,41.09,0.00,0
195,3,-91.59,26.15,0.00,0
196,3,-91.38,0.00,0.00,0
197,3,-91.77,27.39,0.00,0
198,2,-91.45,21.17,147.11,0
199,4,-91.70,0.00,0.00,0
200,4,-91.44,0.00,0.00,0
201,6,88.19,0.00,0.00,1
202,4,-91.53,0.00,0.00,0
203,5,87.93,52.12,0.00,1
204,3,-91.91,27.39,0.00,0
205,4,-92.09,44.82,0.00,0
206,3,-91.78,33.62,0.00,0
207,2,-91.17,21.17,147.11,0
208,4,-92.13,39.84,0.00,0
209,4,-92.55,39.84,0.00,0
210,7,85.92,47.31,0.00,1
211,4,-91.71,39.84,0.00,0
212,5,-92.68,51.54,0.00,0
213,3,-92.47,26.15,0.00,0
214,3,-91.56,0.00,0.00,0
215,3,-91.58,0.00,0.00,0
216,3,-91.74,0.00,0.00,0
217,2,-91.43,21.17,147.11,0
218,8,-91.99,0.00,0.00,0
219,3,-92.27,27.39,0.00,0
220,2,-90.99,21.17,147.11,0
221,4,-92.34,38.60,0.00,0
222,3,-91.49,28.64,0.00,0
223,3,-92.53,31.13,0.00,0
224,5,87.90,54.44,0.00,1
225,2,-90.95,16.19,52.73,0
226,5,87.28,50.38,0.00,1
227,4,-91.97,41.09,0.00,0
228,3,-92.01,31.13,0.00,0
229,3,-91.74,28.64,0.00,0
230,1,-90.41,7.47,26.65,0
231,16,-94.27,34.86,0.00,0
232,3,-92.29,26.15,0.00,0
233,2,-90.49,9.96,47.46,0
234,3,-91.81,29.88,0.00,0
235,4,-92.12,47.31,0.00,0
236,2,-91.01,19.92,120.82,0
237,2,-90.82,16.19,52.73,0
238,1,-90.00,0.00,0.00,0
239,5,87.13,53.28,0.00,1
240,4,-92.22,43.58,0.00,0
241,4,-92.28,0.00,0.00,0
242,2,-90.31,0.00,0.00,0
243,4,-92.48,0.00,0.00,0
244,4,-92.08,41.09,0.00,0
245,3,-91.74,29.88,0.00,0
246,5,-92.50,50.96,0.00,0
247,1,-90.23,7.47,26.65,0
248,1,-90.06,1.25,0.81,0
249,2,-91.35,23.66,205.33,0
250,4,-92.11,32.37,0.00,0
251,4,-92.21,0.00,0.00,0
252,4,-91.83,38.60,0.00,0
253,3,-91.42,21.17,147.11,0
254,1,-90.00,0.00,0.00,0
255,10,-93.86,33.62,0.00,0
256,4,-92.04,0.00,0.00,0
257,4,-92.52,41.09,0.00,0
258,2,-90.70,7.47,26.65,0
259,4,-92.29,39.84,0.00,0
260,8,86.18,34.86,0.00,1
261,1,-90.00,0.00,0.00,0
262,1,-90.08,6.23,18.53,0
263,4,-92.18,32.37,0.00,0
264,3,-91.99,26.15,0.00,0
265,5,87.22,50.38,0.00,1
266,5,88.00,50.96,0.00,1
267,2,-91.72,23.66,205.33,0
268,4,-91.99,43.58,0.00,0
269,9,84.76,42.33,0.00,1
270,3,-91.40,0.00,0.00,0
271,5,87.93,53.28,0.00,1
272,2,-90.78,18.68,96.35,0
273,3,-91.69,28.64,0.00,0
274,2,-91.10,21.17,147.11,0
275,1,-90.21,8.72,36.29,0
276,1,-90.44,11.21,60.20,0
277,2,-91.34,14.94,33.49,0
278,9,-93.48,18.68,96.35,0
279,1,-90.40,8.72,36.29,0
280,4,-92.11,47.31,0.00,0
281,2,-91.52,21.17,147.11,0
282,4,-91.94,43.58,0.00,0
283,2,-90.90,17.43,73.67,0
284,4,-91.98,41.09,0.00,0
1,4,-91.66,0.00,0.00,0
2,2,-91.21,13.70,15.93,0
3,4,-92.04,0.00,0.00,0
4,2,-91.34,21.17,147.11,0
5,3,-92.36,27.39,0.00,0
6,1,-90.00,0.00,0.00,0
7,4,-91.72,0.00,0.00,0
8,1,-90.00,0.00,0.00,0
9,2,-90.90,17.43,73.67,0
10,4,-92.02,39.84,0.00,0
11,2,-91.25,21.17,147.11,0
12,2,-91.48,23.66,205.33,0
1,5,-92.28,44.82,0.00,0
2,4,-92.31,39.84,0.00,0
3,4,-92.13,47.31,0.00,0
4,1,-90.25,11.21,60.20,0
5,2,-90.46,0.00,0.00,0
6,2,-90.88,17.43,73.67,0
7,4,-91.99,0.00,0.00,0
1,4,-91.36,31.13,0.00,0
2,3,-91.90,36.11,0.00,0
3,3,-91.43,0.00,0.00,0
1,2,-91.51,22.41,175.26,0
2,2,-91.09,18.68,96.35,0
3,4,-92.44,32.37,0.00,0
4,4,-91.70,0.00,0.00,0
1,8,-92.73,0.00,0.10,0
2,2,-91.32,19.92,120.82,0
3,2,-90.53,0.00,0.00,0
4,4,-92.23,0.00,0.00,0
5,1,-90.00,0.00,0.00,0
6,4,-91.58,0.00,0.00,0
7,2,-91.45,17.43,73.67,0
8,1,-90.00,0.00,0.00,0
9,2,-90.95,19.92,120.82,0
10,2,-91.01,21.17,147.11,0
11,2,-91.28,21.17,147.11,0
12,2,-90.60,13.70,15.93,0
13,3,-92.17,36.11,0.00,0
14,2,-91.29,18.68,96.35,0
15,3,-92.06,36.11,0.00,0
1,1,-90.00,0.00,0.00,0
2,1,-90.00,0.00,0.00,0
3,4,-91.50,0.00,0.00,0
4,1,-90.00,0.00,0.00,0
5,2,-90.59,14.94,33.49,0
6,2,-90.76,16.19,52.73,0
7,2,-91.22,14.94,33.49,0
8,2,-90.83,17.43,73.67,0
9,2,-91.75,19.92,120.82,0
10,1,-90.00,0.00,0.00,0
1,8,85.78,46.07,0.00,1
2,2,-91.34,21.17,147.11,0
3,3,-91.69,18.68,96.35,0
4,4,-92.58,38.60,0.00,0
5,2,-91.47,23.66,205.33,0
6,3,-91.85,26.15,0.00,0
1,1,-90.00,0.00,0.00,0
2,200,-41.36,0.00,1.00,0
3,200,-38.41,0.00,1.00,0
4,57,-102.05,0.00,0.00,0
5,61,-99.70,0.00,0.10,0
6,61,-102.42,0.00,0.10,0
7,31,-95.45,0.00,0.00,0
8,99,-109.33,0.00,0.00,0
9,169,-124.23,0.00,0.00,0
10,200,-40.35,0.00,1.00,0
11,200,-42.47,0.00,1.00,0
12,61,-103.38,0.00,0.10,0
13,1,-90.00,0.00,0.00,0
14,156,-124.34,0.00,0.00,0
15,1,-90.00,0.00,0.00,0
16,200,-42.14,0.00,1.00,0
17,7,-91.86,0.00,0.00,0
18,111,-115.30,0.00,0.50,0
19,3,-90.02,0.00,0.00,0
20,61,-102.32,0.00,-3.68,0
21,31,-95.45,0.00,0.00,0
1,151,-123.83,0.00,0.50,0
2,61,-101.41,0.00,0.10,0
3,61,-102.69,0.00,0.10,0
4,200,-43.23,0.00,1.00,0
5,151,-119.53,0.00,0.50,0
6,61,-101.32,0.00,0.10,0
7,61,-101.90,0.00,0.10,0
8,33,-96.13,0.00,0.00,0
9,151,-121.40,0.00,0.50,0
10,200,-41.91,0.00,1.00,0
11,200,-41.09,0.00,1.00,0
12,200,-42.36,0.00,1.00,0
13,200,-39.86,0.00,1.00,0
14,31,-95.47,0.00,-3.78,0
15,15,-93.84,0.00,0.00,0
16,1,-90.35,0.00,0.10,0
17,200,-39.75,0.00,1.00,0
18,61,-103.69,0.00,0.10,0
19,200,-39.63,0.00,1.00,0
20,31,-96.53,0.00,0.00,0
21,92,-106.13,0.00,0.00,0
22,61,-102.46,0.00,0.10,0
23,1,-90.00,0.00,0.00,0
24,67,-104.06,0.00,0.00,0
25,200,-45.01,0.00,1.00,0
26,151,-118.03,0.00,0.50,0
27,31,-98.62,0.00,0.00,0
28,200,-44.84,0.00,1.00,0
29,200,-43.79,0.00,1.00,0
30,200,-41.68,0.00,1.00,0
31,200,-42.32,0.00,1.00,0
32,31,-95.20,0.00,0.00,0
33,1,-90.00,0.00,0.00,0
34,200,-43.02,0.00,1.00,0
35,7,-90.93,0.00,0.00,0
36,31,-96.16,0.00,0.00,0
37,69,-101.81,0.00,0.00,0
38,181,-127.47,0.00,0.60,0
39,198,-131.11,0.00,0.50,0
40,92,-110.26,0.00,0.00,0
41,124,-115.84,0.00,0.00,0
42,142,-123.90,0.00,0.00,0
43,161,-125.01,0.00,0.00,0
44,91,-110.09,0.00,0.20,0
45,31,-97.05,0.00,0.00,0
46,49,-99.40,0.00,0.00,0
47,200,-41.29,0.00,1.00,0
48,31,-96.84,0.00,0.00,0
49,106,-113.18,0.00,0.00,0
50,55,-99.59,0.00,0.00,0
51,69,-104.74,0.00,0.00,0
52,151,-120.34,0.00,0.40,0
53,200,-40.14,0.00,1.00,0
54,6,-90.81,0.00,0.00,0
55,181,-126.13,13.89,1.69,0
56,31,-96.78,0.00,0.00,0
57,1,-90.00,0.00,0.00,0
58,1,-90.00,0.00,0.00,0
59,4,-90.68,0.00,0.00,0
60,1,-90.00,0.00,0.00,0
61,31,-98.53,0.00,0.00,0
62,31,-96.63,0.00,0.00,0
63,31,-95.15,0.00,0.00,0
64,200,-42.91,0.00,1.00,0
65,33,-97.46,0.00,0.00,0
66,61,-104.92,0.00,0.10,0
67,53,-100.32,0.00,0.00,0
68,111,-110.03,0.00,0.00,0
69,6,-91.09,0.00,0.00,0
70,191,-129.94,0.00,0.00,0
71,129,-119.02,0.00,0.00,0
72,200,-134.75,0.00,0.00,0
73,61,-104.92,0.00,0.10,0
74,61,-103.18,0.00,0.10,0
75,31,-96.81,0.00,0.00,0
76,151,-119.69,0.00,0.50,0
77,36,-98.14,0.00,0.00,0
78,184,-128.03,0.00,0.00,0
79,87,-109.13,0.00,0.00,0
80,81,-108.16,0.00,0.40,0
81,200,-43.29,0.00,1.00,0
82,200,-41.25,0.00,1.00,0
83,121,-113.51,0.00,0.30,0
84,200,-43.37,0.00,1.00,0
85,1,-90.00,0.00,0.00,0
86,31,-96.72,0.00,0.00,0
87,91,-109.17,0.00,0.20,0
88,47,-99.71,0.00,0.00,0
89,1,-90.00,0.00,0.00,0
90,61,-101.16,0.00,0.10,0
91,31,-95.36,0.00,0.00,0
92,168,-123.38,0.00,0.00,0
93,31,-96.39,0.00,0.00,0
94,200,-41.33,0.00,1.00,0
95,1,-90.00,0.00,0.00,0
96,157,-123.31,0.00,0.00,0
97,162,-121.45,0.00,0.00,0
98,151,-125.63,0.00,0.40,0
99,200,-43.11,0.00,1.00,0
100,61,-99.06,0.00,0.20,0
101,1,-90.00,0.00,0.00,0
102,200,-41.41,0.00,1.00,0
103,61,-103.33,0.00,0.10,0
104,1,-90.00,0.00,0.00,0
105,200,-41.25,0.00,1.00,0
106,121,-117.51,0.00,0.30,0
107,33,-97.31,0.00,0.00,0
108,1,-90.00,0.00,0.00,0
109,31,-97.09,13.89,1.19,0
110,151,-121.55,0.00,0.50,0
111,92,-113.07,0.00,0.00,0
112,200,-42.88,0.00,1.00,0
113,155,-119.40,0.00,0.00,0
114,200,-44.03,0.00,1.00,0
115,1,-90.00,0.00,0.00,0
116,1,-90.00,0.00,0.00,0
117,200,-41.79,0.00,1.00,0
118,200,-42.53,0.00,1.00,0
119,91,-108.33,0.00,0.20,0
120,113,-113.92,0.00,0.00,0
121,1,-90.00,0.00,0.00,0
122,85,-108.56,0.00,0.80,0
123,31,-96.23,0.00,0.00,0
124,61,-102.28,0.00,0.10,0
125,91,-109.63,0.00,0.20,0
126,161,-122.57,0.00,0.00,0
127,171,-128.60,0.00,0.00,0
128,91,-110.25,0.00,0.20,0
129,200,-42.81,0.00,1.00,0
130,37,-97.25,0.00,0.00,0
131,5,-90.77,0.00,0.00,0
132,91,-109.01,0.00,0.20,0
133,200,-36.80,0.00,1.00,0
134,31,-96.77,0.00,0.00,0
135,200,-43.37,0.00,1.00,0
136,85,-112.12,0.00,0.80,0
