Episode,Steps,Reward,AvgSpeed,Energy,Success
1,103,-109.76,0.00,0.00,0
2,148,-80.59,0.00,1.00,False
3,82,-68.01,0.00,1.00,False
4,131,-117.28,0.00,0.00,0
5,82,-66.97,0.00,1.00,False
6,97,-107.92,0.00,0.90,0
7,1,-90.35,1.02,0.06,0
8,31,-95.16,0.00,0.90,0
9,163,56.53,0.00,0.90,1
10,64,-102.78,11.84,-17.90,0
11,84,-67.53,0.00,1.00,False
12,31,-97.13,0.00,0.90,0
13,51,-60.96,0.00,1.00,False
14,15,-92.44,0.00,0.00,0
15,163,61.97,0.00,0.90,1
16,159,-124.55,0.00,0.90,0
17,84,-68.42,0.00,1.00,False
18,5,-90.76,0.00,0.00,0
19,1,-90.01,0.77,0.09,0
20,6,-90.74,0.00,0.00,0
21,4,-90.60,0.00,0.00,0
22,127,-113.95,0.00,0.90,0
23,140,-120.53,0.00,0.00,0
24,82,-67.63,0.00,1.00,False
25,50,-100.18,0.00,0.00,0
26,3,-90.71,0.00,0.00,0
27,131,64.57,13.32,-5.07,1
28,51,-61.00,0.00,1.00,False
29,31,-95.52,0.00,0.90,0
30,31,-95.32,0.00,0.90,0
31,200,-42.81,0.00,1.00,0
32,200,-39.07,0.00,1.00,0
33,51,-60.81,0.00,1.00,False
34,33,-97.90,0.00,0.00,0
35,1,-90.00,0.00,0.00,0
36,62,-104.50,0.00,0.90,0
37,200,-40.69,0.00,1.00,0
38,130,-115.92,0.00,0.00,0
39,34,-98.35,0.00,0.00,0
40,98,-111.08,0.00,0.00,0
41,192,-127.75,0.00,0.00,0
42,101,-110.27,0.00,0.00,0
43,83,-67.19,0.00,1.00,False
44,31,-97.50,0.00,0.90,0
45,31,-95.55,0.00,0.90,0
46,32,-95.89,1.50,-0.77,0
47,192,51.32,6.41,-24.48,1
48,31,-96.31,0.00,0.90,0
49,115,-72.08,0.00,1.00,False
50,2,-90.12,0.00,0.00,0
51,134,-117.30,0.00,0.00,0
52,93,-107.05,0.00,0.90,0
53,164,-123.74,0.00,0.00,0
54,155,-120.20,0.00,0.90,0
55,63,-103.41,9.72,-25.32,0
56,82,-65.27,0.00,1.00,False
57,82,-69.62,0.00,1.00,False
58,113,-73.19,0.00,1.00,False
59,1,-90.00,0.00,0.00,0
60,39,-98.03,0.00,0.00,0
61,82,-68.16,0.00,1.00,False
62,124,-115.32,0.00,0.90,0
63,14,-92.57,0.00,0.00,0
64,125,-112.08,5.56,-41.73,0
65,2,-90.46,0.00,0.00,0
66,51,-60.28,0.00,1.00,False
67,200,-40.27,0.00,1.00,0
68,158,-123.76,0.00,0.00,0
69,62,-101.46,0.00,0.90,0
70,51,-60.06,0.00,1.00,False
71,200,-42.00,0.00,1.00,0
72,155,-125.36,0.00,0.90,0
73,144,-76.55,0.00,1.00,False
74,64,-104.15,0.00,0.00,0
75,31,-95.14,0.00,0.90,0
76,200,-43.68,0.00,1.00,0
77,96,-110.31,0.00,0.10,0
78,31,-97.23,0.00,0.90,0
79,200,-39.39,0.00,1.00,0
80,82,-68.07,0.00,1.00,False
81,1,-90.08,1.86,-0.36,0
82,31,-97.56,0.00,0.90,0
83,200,-44.63,0.00,1.00,0
84,200,-38.22,0.00,1.00,0
85,62,-103.07,0.00,0.90,0
86,39,-97.14,0.00,0.10,0
87,196,-131.80,0.00,0.00,0
88,165,-121.73,0.00,0.00,0
89,190,-130.46,0.00,0.00,0
90,82,-65.72,0.00,1.00,False
91,51,-60.80,0.00,1.00,False
92,196,-127.19,0.00,0.00,0
93,194,-124.49,0.00,0.00,0
94,1,-90.00,0.00,0.00,0
95,188,-125.96,0.00,0.00,0
96,82,-64.41,0.00,1.00,False
97,200,-38.79,0.00,1.00,0
98,200,-39.35,0.00,1.00,0
99,113,-71.87,0.00,1.00,False
100,131,-118.87,0.00,0.00,0
101,155,-120.31,0.00,0.90,0
102,103,-111.18,0.00,0.00,0
103,124,-115.47,0.00,0.90,0
104,28,-95.03,0.00,0.00,0
105,1,-90.00,0.00,0.00,0
106,144,-79.19,0.00,1.00,False
107,200,-40.22,0.00,1.00,0
108,200,-40.68,0.00,1.00,0
109,200,-39.75,0.00,1.00,0
110,31,-97.04,0.00,0.90,0
111,31,-97.83,0.00,0.90,0
112,32,-97.17,6.21,-14.28,0
113,113,-73.65,0.00,1.00,False
114,200,-41.06,0.00,1.00,0
115,62,-102.05,0.00,0.90,0
116,200,-40.71,0.00,1.00,0
117,62,-101.81,0.00,0.90,0
118,200,-41.76,0.00,1.00,0
119,32,-96.47,6.95,-37.26,0
