Episode,Steps,Reward,AvgSpeed,Energy,Success
2,2,-91.63,23.66,205.33,0
5,3,-91.71,28.64,0.00,0
7,2,-90.40,0.00,0.00,0
12,5,87.83,50.96,0.00,1
16,4,-92.27,41.09,0.00,0
21,5,-92.64,50.38,0.00,0
25,4,-91.75,0.00,0.00,0
28,3,-91.60,0.00,0.00,0
30,2,-91.03,16.19,52.73,0
32,2,-90.81,0.00,0.00,0
34,2,-91.30,22.41,175.26,0
37,3,-92.05,36.11,0.00,0
38,1,-90.00,0.00,0.00,0
