Episode,Steps,Reward,AvgSpeed,Energy,Success
168,8,86.31,30.71,64.64,1
169,12,84.62,12.04,40.78,1
170,3,-90.46,10.38,20.73,0
171,6,-92.56,24.07,88.15,0
172,6,-91.61,0.00,0.00,0
173,2,-90.76,5.40,6.37,0
174,6,-92.64,24.07,88.15,0
175,7,-93.27,0.00,0.00,0
176,9,85.17,33.62,19.03,1
177,8,-93.00,26.14,39.05,0
178,6,-92.78,21.16,10.14,0
179,11,-93.03,14.53,30.57,0
180,8,86.18,30.29,48.00,1
181,6,-91.97,22.82,53.17,0
182,3,-91.29,10.79,25.45,0
183,11,-92.95,5.81,8.85,0
184,2,-90.63,4.98,4.07,0
185,2,-90.21,5.40,6.37,0
186,1,-90.00,0.00,0.00,0
187,6,-92.46,24.07,88.15,0
188,3,-91.11,9.96,16.20,0
189,7,86.80,26.56,52.63,1
190,5,-91.59,0.00,0.00,0
191,6,-92.56,22.41,42.03,0
192,6,-91.75,21.16,10.14,0
193,5,-91.72,19.09,50.23,0
194,3,-90.53,9.13,7.72,0
195,5,-92.23,17.85,24.10,0
196,6,-93.52,23.24,64.57,0
197,5,-91.76,17.02,7.81,0
198,5,-91.76,0.00,0.00,0
199,3,-90.91,8.72,3.77,0
200,6,-92.10,23.24,64.57,0
201,4,-90.98,13.70,17.73,0
202,4,-91.51,15.77,51.41,0
203,8,-92.77,0.00,0.00,0
204,5,-91.72,17.43,15.84,0
205,5,-90.95,15.77,51.41,0
206,8,-93.29,29.46,15.68,0
207,6,-92.34,24.07,88.15,0
208,1,-90.00,0.00,0.00,0
209,10,84.41,37.77,22.87,1
210,3,-90.47,9.55,11.87,0
211,9,85.52,31.96,116.55,1
212,8,85.61,31.96,116.55,1
213,4,-91.29,14.53,30.57,0
214,10,-93.99,11.21,30.36,0
215,9,85.51,34.03,38.43,1
216,2,-90.60,7.47,20.60,0
217,6,-92.60,24.07,88.15,0
218,7,-92.66,0.00,0.00,0
219,8,85.84,32.37,134.53,1
220,6,-91.70,0.00,0.00,0
221,6,-92.52,24.07,88.15,0
222,5,-92.77,17.85,24.10,0
223,5,-92.23,18.68,41.29,0
224,4,-90.56,0.00,0.00,0
225,2,-90.70,6.64,14.36,0
226,10,-92.25,5.40,6.37,0
227,12,85.81,20.34,78.47,1
228,4,-91.32,14.11,24.04,0
229,3,-91.14,9.13,7.72,0
230,6,-92.58,22.41,42.03,0
231,7,-93.47,26.14,39.05,0
232,9,85.53,31.54,98.91,1
233,5,-91.73,17.85,24.10,0
234,4,-91.54,13.28,11.61,0
235,5,-91.86,19.92,68.82,0
236,7,-92.97,28.22,109.89,0
237,3,-90.94,12.04,40.78,0
238,7,-93.10,28.22,109.89,0
239,21,83.91,18.26,32.58,1
240,2,-90.28,5.81,8.85,0
241,5,-90.70,0.00,0.00,0
242,4,-90.55,0.00,0.00,0
243,16,84.49,21.16,10.14,1
244,2,-90.22,5.40,6.37,0
245,4,-91.23,0.00,0.00,0
246,6,-92.13,0.00,0.00,0
247,8,85.83,29.88,31.68,1
248,15,84.00,21.16,10.14,1
249,13,84.02,12.04,40.78,1
250,6,-92.96,0.00,0.10,0
251,4,-91.53,13.28,11.61,0
252,5,-90.98,13.28,11.61,0
253,1,-90.00,0.00,0.00,0
254,1,-90.00,0.00,0.00,0
255,1,-90.00,0.00,0.00,0
256,3,-91.12,9.55,11.87,0
257,3,-91.10,12.04,40.78,0
258,5,-91.66,19.09,50.23,0
259,1,-90.00,0.00,0.00,0
260,5,-92.47,19.51,59.41,0
261,1,-90.53,3.74,7.98,0
262,3,-91.01,10.38,20.73,0
263,8,-91.84,0.00,0.00,0
264,8,86.15,31.96,116.55,1
265,12,85.47,0.00,0.00,1
266,7,-92.65,27.39,80.67,0
267,4,-90.84,12.87,5.71,0
268,7,-93.20,28.22,109.89,0
269,3,-90.47,0.00,0.00,0
270,2,-90.48,5.81,8.85,0
271,2,-90.74,6.64,14.36,0
272,15,-95.42,22.41,42.03,0
273,6,-91.82,21.16,10.14,0
274,4,-91.05,13.70,17.73,0
275,3,-91.26,12.04,40.78,0
276,9,-94.15,33.62,19.03,0
277,8,85.90,31.54,67.33,1
278,3,-90.64,10.38,20.73,0
279,1,-90.00,0.00,0.00,0
280,3,-90.87,9.13,7.72,0
281,6,-93.20,24.07,88.15,0
282,3,-90.71,9.96,16.20,0
283,12,-93.34,0.00,0.00,0
284,4,-91.51,14.11,24.04,0
285,5,-91.60,13.28,11.61,0
286,3,-90.78,10.38,20.73,0
287,7,-93.78,28.22,109.89,0
288,22,81.90,17.02,7.81,1
289,7,-92.25,25.73,25.75,0
290,3,-90.78,12.04,40.78,0
291,7,-93.19,26.97,66.50,0
292,3,-90.21,0.00,0.00,0
293,2,-90.51,5.40,6.37,0
294,8,-93.90,29.88,31.68,0
295,1,-90.00,0.00,0.00,0
296,8,-93.05,11.21,30.36,0
297,2,-90.47,4.98,4.07,0
298,6,-92.86,24.07,88.15,0
299,4,-91.57,13.70,17.73,0
300,6,-92.51,24.07,88.15,0
301,13,-93.73,12.87,5.71,0
302,3,-91.07,8.72,3.77,0
303,7,-93.08,26.56,52.63,0
304,4,-91.32,14.11,24.04,0
305,3,-91.18,11.62,35.47,0
306,8,85.50,30.71,64.64,1
307,3,-91.25,11.62,35.47,0
308,5,-91.53,17.43,15.84,0
309,4,-91.65,14.11,24.04,0
310,1,-90.00,0.00,0.00,0
311,3,-91.37,10.38,20.73,0
312,2,-90.37,0.00,0.00,0
313,7,-93.35,26.56,52.63,0
314,6,-91.88,23.24,64.57,0
315,2,-90.31,4.98,4.07,0
316,2,-90.70,4.98,4.07,0
317,3,-90.55,10.38,20.73,0
318,8,86.06,31.12,81.61,1
319,7,-92.59,25.31,12.74,0
320,1,-90.00,0.00,0.00,0
321,1,-90.00,0.00,0.00,0
322,1,-90.00,0.00,0.00,0
323,3,-91.31,11.62,35.47,0
324,6,-91.99,0.00,0.00,0
325,1,-90.00,0.00,0.00,0
326,3,-90.90,11.21,30.36,0
327,4,-91.73,12.87,5.71,0
328,8,85.71,32.37,134.53,1
329,5,-91.50,17.02,7.81,0
330,7,-93.44,26.56,52.63,0
331,3,-90.61,9.13,7.72,0
332,4,-91.63,14.11,24.04,0
333,3,-90.96,12.04,40.78,0
334,7,-93.67,26.56,52.63,0
335,6,-92.52,24.07,88.15,0
336,3,-90.76,11.62,35.47,0
337,4,-91.31,0.00,0.00,0
338,3,-90.43,0.00,0.00,0
339,6,-92.71,24.07,88.15,0
340,10,-92.77,0.00,0.00,0
341,4,-91.11,13.70,17.73,0
342,2,-90.95,7.06,17.39,0
343,7,-93.54,27.39,80.67,0
344,3,-91.50,11.62,35.47,0
345,2,-90.59,7.06,17.39,0
346,6,-92.48,22.82,53.17,0
347,1,-90.00,0.00,0.00,0
348,8,-93.97,26.56,52.63,0
349,2,-90.79,6.23,11.52,0
350,15,-93.95,14.11,24.04,0
351,6,-92.15,21.16,10.14,0
352,6,-92.97,24.07,88.15,0
353,6,-92.52,21.16,10.14,0
354,4,-91.47,15.77,51.41,0
355,6,-92.38,21.99,31.15,0
356,3,-90.68,11.62,35.47,0
357,1,-90.00,0.00,0.00,0
358,1,-90.00,0.00,0.00,0
359,6,-91.80,22.41,42.03,0
360,3,-90.71,11.62,35.47,0
361,3,-90.78,11.62,35.47,0
362,7,-93.79,26.14,39.05,0
363,4,-91.44,14.11,24.04,0
364,11,85.19,0.00,0.00,1
365,3,-90.95,11.62,35.47,0
366,1,-90.00,0.00,0.00,0
367,9,-94.15,30.71,64.64,0
368,7,-92.84,26.56,52.63,0
369,1,-90.00,0.00,0.00,0
370,3,-90.90,10.79,25.45,0
371,8,-93.79,30.29,48.00,0
372,3,-90.60,7.47,20.60,0
373,3,-90.68,11.21,30.36,0
374,2,-90.60,2.49,3.74,0
375,2,-90.44,0.00,0.00,0
