#{"t_start": 1769854655.4355848, "env_id": "None"}
r,l,t
-0.937283,200,5144.372462
-1.132363,200,5294.981491
-90.732194,181,5307.013713
-90.170581,31,5320.209451
-90.0,1,5327.21811
-90.244729,31,10790.126557
-0.869048,200,10801.745197
-1.296029,200,10814.245075
-90.0,1,10820.464954
-0.997611,200,10963.88431
-1.000442,200,15599.744471
-90.402172,61,15651.35393
-0.973529,200,15664.362623
-90.0,1,15671.316546
-90.403572,61,15700.696355
-92.070293,200,19477.819072
-90.231127,31,19482.10479
-1.551524,200,19739.691711
-90.444864,77,19776.495818
-90.202766,31,19798.338655
-90.203431,31,22881.446784
-90.0,1,22887.45184
-0.841247,200,23148.139449
-90.0,1,23154.654629
-90.0,1,23160.484393
-1.058572,200,25971.760571
-91.275991,121,25979.997382
