Episode,Steps,Total_Reward,Avg_Speed_mps,Total_Energy_Wh,Success
165,1,-90.00,0.00,0.00,0
166,1,-90.00,0.00,0.00,0
167,1,-90.00,0.00,0.00,0
168,8,-91.81,5.71,97.67,0
169,1,-90.50,24.90,0.00,0
170,200,-43.01,0.16,264.86,0
171,2,-90.28,22.07,29.08,0
172,6,-91.02,14.65,3.00,0
173,2,-90.19,27.04,-45.78,0
174,5,-90.70,8.04,19.28,0
175,4,-91.02,9.34,3.00,0
176,1,-90.00,24.90,0.00,0
177,1,-90.00,20.75,0.00,0
178,1,-90.00,0.00,0.00,0
179,3,-91.01,22.77,88.88,0
180,4,-91.27,16.60,-43.78,0
181,4,-90.65,23.57,2.00,0
182,4,-91.89,33.55,234.72,0
183,2,-90.42,3.51,1.00,0
184,10,-92.02,4.23,127.84,0
185,1,-90.00,0.00,0.00,0
186,3,-90.89,30.49,1.00,0
187,3,-91.04,28.84,1.00,0
188,1,-90.00,0.00,0.00,0
189,8,-91.62,19.77,91.37,0
190,1,-90.38,12.91,79.36,0
191,1,-90.00,0.00,0.00,0
192,200,-46.09,0.46,289.98,0
193,5,-90.92,5.28,88.09,0
194,4,-90.89,8.30,3.00,0
195,3,-91.01,9.68,2.00,0
196,2,-90.53,20.13,29.30,0
197,7,88.02,26.46,8.15,1
198,6,-90.91,2.77,5.00,0
199,5,-90.87,18.74,6.84,0
200,8,-92.38,9.56,133.72,0
201,14,86.81,10.64,250.54,1
202,1,-90.00,0.00,0.00,0
203,200,-42.13,0.00,199.35,0
204,1,-90.00,0.00,0.00,0
205,3,-91.37,26.41,-10.45,0
206,1,-90.36,22.90,0.00,0
207,1,-90.00,26.78,0.00,0
208,1,-90.00,0.00,0.00,0
209,1,-90.00,0.00,0.00,0
210,1,-90.00,0.00,0.00,0
211,9,88.43,20.32,-93.95,1
212,1,-90.00,0.00,0.00,0
213,6,-91.16,7.33,61.34,0
214,2,-90.76,20.27,146.36,0
215,4,-90.60,10.38,2.00,0
216,200,-41.37,0.18,175.96,0
217,5,-91.43,8.76,149.93,0
218,8,88.29,16.08,-102.55,1
219,7,-91.54,17.62,6.47,0
220,3,-90.37,9.39,1.00,0
221,2,-90.06,29.02,0.00,0
222,4,-91.07,14.09,91.68,0
223,3,-90.98,12.71,172.06,0
224,7,-91.82,21.15,131.09,0
225,8,-91.11,8.55,94.28,0
226,3,-90.78,13.83,1.00,0
227,2,-91.11,5.91,67.95,0
228,6,-91.59,18.53,-85.89,0
229,9,-91.73,10.58,45.89,0
230,1,-90.00,0.00,0.00,0
231,1,-90.00,0.00,0.00,0
232,3,-90.84,15.42,65.57,0
233,15,87.54,12.22,94.37,1
234,6,-90.97,8.80,-77.92,0
235,200,-41.54,0.11,312.92,0
236,8,87.05,20.77,269.36,1
237,1,-90.08,19.70,0.00,0
238,1,-90.00,0.00,0.00,0
239,1,-90.00,0.00,0.00,0
240,6,-91.80,9.73,73.75,0
241,7,88.62,24.15,-7.67,1
242,1,-90.43,15.59,80.73,0
243,3,-90.10,32.37,0.00,0
244,6,87.99,27.36,51.98,1
245,4,-90.98,6.42,5.32,0
246,4,-91.04,35.58,48.47,0
247,3,-90.30,11.54,1.54,0
248,3,-90.25,50.19,-22.89,0
249,4,-91.06,21.81,163.84,0
250,5,-91.31,5.39,83.17,0
251,2,-90.26,47.14,0.00,0
252,5,-90.87,14.68,3.00,0
253,7,-91.04,16.64,6.89,0
254,1,-90.00,0.00,0.00,0
255,3,-91.01,6.92,2.00,0
256,4,-91.91,21.51,214.13,0
257,1,-90.00,0.00,0.00,0
258,1,-90.44,18.47,0.00,0
259,6,89.02,32.37,-22.09,1
260,1,-90.09,16.30,0.00,0
261,1,-90.09,24.90,0.00,0
262,4,-91.43,5.18,72.64,0
263,5,-90.89,34.97,-136.35,0
264,3,-90.60,15.35,-44.78,0
265,3,-90.85,16.53,89.91,0
266,1,-90.00,0.00,0.00,0
267,1,-90.53,16.74,102.90,0
268,1,-90.00,0.00,0.00,0
269,2,-90.14,39.33,-61.81,0
270,1,-90.00,0.00,0.00,0
271,3,-90.23,17.74,-32.30,0
272,7,-90.89,13.67,5.00,0
273,1,-90.08,30.20,0.00,0
274,11,-91.87,16.94,-134.76,0
275,12,87.11,16.07,-52.40,1
276,200,-42.82,0.06,224.29,0
277,2,-90.93,3.16,19.70,0
278,5,-90.85,18.72,2.00,0
279,2,-90.33,22.51,38.50,0
280,3,-90.98,12.21,34.75,0
281,6,89.38,37.12,-227.91,1
282,7,-91.92,9.64,-8.71,0
283,11,-92.77,5.04,175.05,0
284,1,-90.00,0.00,0.00,0
