#{"t_start": 1768626771.734553, "env_id": "None"}
r,l,t
507.843548,33,5.907527
479.729678,50,8.600394
492.181313,39,11.464373
485.488344,76,14.838126
498.64731,33,16.953946
507.853687,25,18.886312
474.954321,85,26.257922
490.249572,39,28.604878
506.70003,52,31.336963
472.320811,119,35.987647
487.213149,57,38.925712
510.967951,21,40.781061
438.831162,159,46.853955
498.932013,68,49.973939
481.81803,98,53.992195
512.760863,24,55.878949
495.733411,52,62.18716
480.076326,57,65.027738
496.183185,43,67.509866
463.694292,136,72.651405
486.054264,51,75.314899
516.171192,32,77.485984
507.082412,25,79.546793
507.17205,31,81.656387
485.546174,50,84.273614
450.632454,136,89.722571
426.610397,181,100.003346
477.725282,89,103.826308
477.147583,85,107.536375
457.373045,129,176.048591
497.685424,53,178.781052
510.2393,38,181.078048
491.999871,25,182.999074
489.584955,42,185.41243
510.844561,28,187.457921
496.012307,64,190.660974
488.461238,55,193.485151
523.967641,69,196.716366
488.828585,43,199.245685
492.558778,52,205.557075
496.516119,58,208.562555
457.510311,93,212.639335
497.541968,37,215.382603
496.988736,59,218.298665
518.157418,24,220.191822
492.684157,69,223.418395
500.196529,26,225.375135
503.384031,70,228.578402
513.654827,31,230.663537
505.012696,27,232.627435
497.132512,25,234.563832
483.883217,52,241.441438
516.788082,40,243.784551
481.046976,76,247.201408
503.402836,29,249.227529
490.649906,60,252.164223
503.064567,24,254.05483
508.683218,34,256.778954
458.457297,127,261.757386
495.747311,60,264.68906
498.788902,32,266.839247
500.281882,49,269.611009
492.483739,71,272.872772
475.076234,90,280.3213
503.99281,45,282.808964
492.028151,26,284.754997
483.232216,77,288.280441
507.979344,18,290.038728
506.443165,61,302.740215
480.862975,69,307.153383
503.151582,21,309.010573
487.163353,65,315.851001
497.374243,27,317.868317
510.576553,27,319.883752
512.636213,37,322.190397
507.35698,51,324.908256
502.647716,29,326.957494
495.974962,27,328.944074
504.115107,42,331.382348
516.281846,32,333.520027
502.385673,28,335.519359
516.974228,20,337.331822
523.315995,36,339.591472
505.257272,48,342.194933
499.594412,61,345.19037
506.720877,26,350.800872
502.479116,45,353.280461
495.4318,41,355.660553
495.123448,65,358.79701
514.464333,24,360.727732
497.426031,66,363.889861
506.306058,16,365.590811
483.672281,56,368.415019
480.737434,61,371.400748
509.308058,30,373.507778
529.242253,34,375.680559
492.601338,30,377.760287
507.588696,21,379.569337
511.341621,21,381.412277
506.512088,41,387.41684
509.22853,26,389.377606
514.444644,26,391.32804
521.065611,33,393.479298
518.80196,30,395.565329
514.721889,33,397.718233
508.104472,27,399.714524
508.46776,23,401.57851
518.084954,32,403.715651
529.17065,30,405.790348
508.437532,44,408.270843
498.20871,28,410.301415
499.198638,24,412.201587
522.614019,43,414.687261
480.560614,57,417.545065
508.676689,25,423.096135
488.334816,80,426.597822
518.455325,43,429.119145
491.019093,40,431.87964
492.893694,36,434.226641
495.347788,35,436.402881
500.333542,35,438.596047
494.609318,57,453.61528
471.310855,86,461.080488
522.57069,32,464.483169
512.897992,26,466.504343
508.684485,32,468.746277
511.110189,25,470.944402
508.885197,26,473.094011
521.329309,20,475.216092
515.41684,17,477.118922
513.450886,29,479.599846
500.864179,20,481.662701
523.998449,20,483.743469
510.770661,21,485.716681
516.700643,23,487.771998
531.974161,20,489.722111
508.457051,16,495.191439
506.463958,25,497.288259
514.715777,26,499.411283
508.848415,25,501.621952
506.110621,39,504.434302
513.913321,19,506.462588
527.192954,41,509.210848
511.893347,19,511.200862
508.740987,23,513.298381
514.179841,17,515.362873
525.341186,35,517.88638
515.362057,20,519.82877
505.374123,26,521.877024
510.582382,43,524.482822
511.703544,32,526.674947
510.812622,37,532.639874
516.255474,22,534.624961
512.555372,26,536.815423
517.428795,30,539.415876
518.481309,29,541.639358
538.924955,29,543.89591
502.845887,25,545.889944
505.115099,22,548.114028
512.719504,25,550.331481
510.517747,28,552.652011
498.611818,38,555.266326
501.80111,12,556.940102
509.574452,37,559.543582
517.649254,31,561.789609
505.735168,69,569.411801
509.725621,38,571.81084
547.569245,41,574.397088
505.325851,34,576.634953
518.831578,20,578.473803
511.232468,23,580.538596
533.453471,47,583.478305
511.284478,28,585.576574
530.809516,44,588.202613
529.695633,34,590.499315
522.922309,27,592.73733
510.145459,69,596.35436
501.952328,43,602.62466
508.933937,56,605.731862
512.114455,16,607.473161
508.448217,32,609.60597
509.457622,25,611.60484
510.202971,21,613.507573
510.499822,20,615.581644
503.487395,32,617.921161
509.575503,14,619.668876
505.261603,55,632.915511
512.412626,19,634.717203
494.887315,35,640.618161
506.800654,47,643.254074
526.013721,19,645.117129
502.659859,30,647.277933
518.592986,24,650.93111
499.533553,16,652.682377
476.075154,51,655.940472
509.127348,15,657.826689
522.940322,20,659.805704
524.598152,22,661.754536
513.051184,17,663.58905
515.630081,25,665.677585
515.54341,15,667.459324
509.29012,19,669.327347
517.099052,16,674.796249
519.322015,27,676.830392
507.514851,23,678.846449
501.686835,21,680.729706
515.559139,22,682.841254
496.839239,26,684.879523
508.131897,20,686.74671
501.652558,18,688.581545
488.550936,60,691.790051
531.991797,34,694.260769
530.333845,32,696.611159
499.893066,23,698.734645
515.155892,18,700.532225
512.86084,17,702.308414
526.686147,30,704.603032
506.555314,37,710.933791
518.458889,41,713.629543
517.523216,20,715.873648
510.19011,36,718.636271
533.131193,28,720.934471
505.092784,20,722.813648
524.472805,22,724.797205
506.33556,16,726.595281
520.796483,33,728.973684
512.914094,28,731.168108
502.55845,23,733.361006
516.225189,21,735.554503
511.578106,24,737.690835
518.369253,21,739.616668
517.604074,18,741.432574
516.147851,34,747.359567
535.960972,26,749.403267
507.04038,14,751.20506
519.734226,28,753.376276
506.281813,14,755.95419
502.837658,34,758.339791
517.749112,28,760.529501
524.217454,23,762.524662
514.119484,17,764.356781
508.357435,13,766.037976
509.593901,15,767.755836
515.361097,32,770.22431
516.043574,31,772.487275
519.685512,19,774.373811
503.770974,16,776.097074
521.112809,33,778.315456
509.789335,15,783.767611
518.232988,27,785.889863
517.85694,22,787.862654
521.846289,24,789.88791
516.323903,22,791.793869
516.0545,24,793.784001
537.630812,40,796.230794
509.349225,17,797.983467
513.016943,22,799.89367
510.672296,20,801.723777
527.784632,23,803.643792
522.052299,20,805.456784
517.936844,24,807.421873
506.5398,18,809.20228
520.106796,29,811.343964
514.262452,34,813.678742
508.022055,5,815.192943
526.570861,26,820.997948
516.051876,65,834.37799
514.623753,16,836.107756
509.907194,17,837.87536
514.719319,16,839.722161
517.081776,19,841.595373
507.147509,26,843.715339
542.393101,31,845.892606
528.162462,25,847.990758
540.409721,33,850.278118
509.043975,18,855.729493
535.161835,24,859.165953
511.531992,29,861.273085
518.852122,20,863.163542
506.075058,13,864.881322
505.685569,19,866.747433
508.463698,37,869.136744
519.99826,24,871.157664
516.745166,17,872.943014
501.352583,35,875.247242
518.614658,26,877.299439
516.897214,21,879.26514
516.63117,25,881.521842
514.698848,19,883.532952
512.887332,29,886.400496
516.739715,20,891.924982
514.749659,48,894.832742
517.92096,19,896.762653
516.46657,16,898.538861
512.460719,20,900.539432
506.321567,26,902.711126
519.719419,19,904.594116
542.35372,29,906.900228
512.93789,15,908.830003
509.725138,14,910.566241
514.708557,18,912.362129
528.710267,27,914.439186
535.367932,24,916.421545
524.79032,31,918.568193
531.017155,29,920.67382
506.899343,35,923.168913
521.276518,15,928.629121
515.991311,19,930.579612
518.839435,31,932.902566
518.672855,19,934.814139
510.293772,41,937.440637
519.541776,19,939.276166
514.802865,18,941.10137
524.748722,23,943.077607
514.153631,19,944.929601
520.655352,20,946.807825
522.522052,23,948.973514
521.377456,24,951.048396
526.273813,29,953.321883
519.372951,22,955.317912
516.984416,20,957.251941
510.792423,19,959.397126
522.207353,18,965.007822
533.259287,24,967.177825
498.575057,20,969.166848
516.203772,20,971.173997
529.812271,24,973.277173
514.079131,16,975.111817
521.277043,18,976.996901
519.133627,18,979.427551
506.718402,10,981.157831
531.778827,24,983.37562
502.837976,31,985.751671
513.935976,22,987.675745
515.018357,19,989.70047
516.608699,14,991.464014
507.502463,17,993.368201
530.272632,18,995.401353
508.057377,18,1000.98818
527.20877,28,1003.411869
505.724003,23,1005.590664
513.902487,22,1007.566157
522.532139,23,1009.530896
521.266791,27,1011.603732
533.01909,21,1013.709697
510.846904,18,1015.621813
518.626188,17,1017.494967
509.126941,13,1019.235537
510.794204,31,1021.425153
510.947251,13,1023.107014
515.542133,16,1024.838655
493.121553,28,1027.008047
519.748294,23,1028.990441
512.088419,19,1030.949476
511.988727,14,1036.311572
541.132186,37,1048.909098
510.070144,27,1051.105088
535.018242,25,1053.362047
510.046194,42,1056.108693
520.644188,16,1057.963531
512.006452,28,1060.161225
505.421044,12,1061.83173
508.691928,14,1063.55419
510.878242,14,1065.233265
517.82741,25,1067.227131
518.930099,25,1072.797616
523.024229,22,1074.692363
514.073644,17,1076.454602
516.169205,18,1080.036783
516.335576,19,1081.973778
522.430997,19,1083.83501
518.942407,19,1085.653734
510.455907,17,1087.421789
512.571947,20,1089.270346
515.715697,14,1090.958941
525.463332,19,1092.793022
510.541346,23,1094.75229
518.908041,54,1097.591055
523.663069,19,1099.378596
527.91596,36,1101.68522
509.331983,13,1103.452441
515.620574,20,1108.966506
533.963322,24,1110.980364
509.676538,44,1113.671655
516.392376,17,1115.528425
523.8431,19,1117.396734
522.630046,18,1119.176377
512.610351,13,1120.834384
511.019209,15,1122.584246
517.676446,21,1124.544584
525.446306,21,1126.52637
513.881385,14,1128.318949
513.640249,24,1130.342678
516.814598,14,1132.06781
518.476171,17,1134.006623
518.550969,15,1135.761124
511.626411,11,1137.384722
529.23946,17,1139.109254
513.783781,15,1144.476281
507.765932,22,1146.609302
523.783819,22,1148.567253
521.439979,16,1150.325966
540.004964,26,1152.380439
517.523727,16,1154.152443
509.037502,20,1156.040226
522.407927,20,1157.981981
527.271419,24,1160.082625
524.512604,49,1163.418012
530.331745,26,1165.57489
510.786666,19,1167.49801
509.223554,31,1169.990011
515.618931,16,1171.893598
506.013156,13,1173.69622
511.332269,35,1176.20274
514.992518,17,1181.59336
510.757723,29,1183.718097
523.542439,20,1185.577981
514.833632,13,1187.270744
517.070811,17,1189.021967
519.873612,17,1190.798672
510.156933,35,1193.137391
511.023483,33,1195.376827
508.595898,18,1197.162344
515.829195,21,1199.05077
517.702013,18,1200.897359
528.580022,24,1202.930562
528.829924,17,1204.699313
530.099224,23,1207.205868
516.709377,15,1208.957448
510.996704,10,1210.607011
532.645848,22,1212.516186
528.677989,27,1218.138273
512.310399,14,1219.80824
540.317072,32,1221.994283
514.350445,21,1223.947539
514.538394,16,1225.781398
511.750525,23,1227.821137
514.973795,17,1229.604953
513.422602,16,1231.422402
527.170039,20,1233.450819
510.854165,15,1235.220225
512.782753,16,1236.968966
518.408232,13,1238.657041
516.367335,14,1240.353193
511.690208,25,1242.406423
509.845325,17,1244.241315
521.931902,18,1246.08903
504.496453,15,1247.832604
513.768093,22,1253.55852
522.462621,16,1255.331555
521.910285,23,1257.270705
510.241346,19,1269.223498
514.920916,21,1271.143915
521.857777,16,1272.88742
514.889821,33,1275.106403
527.864318,31,1277.23921
519.202128,30,1279.330873
502.660984,14,1280.994421
514.253327,19,1282.807746
519.610116,17,1284.549543
525.698448,16,1289.892255
533.715389,23,1291.804281
525.378282,21,1293.664
517.782787,15,1295.932667
511.100672,21,1297.84432
540.649575,22,1299.859431
518.312371,15,1301.81784
519.338594,25,1305.12647
527.371585,25,1307.149616
523.028698,16,1308.901779
510.114727,23,1310.915075
510.790727,45,1313.482295
500.628156,7,1315.051899
535.431249,21,1316.937174
500.651578,16,1318.797895
519.587681,38,1324.843422
521.521569,16,1326.616993
514.364617,19,1328.497028
515.396678,18,1330.363497
528.78408,19,1332.208687
528.047252,18,1334.010895
513.335444,16,1335.801482
510.317136,16,1337.524538
520.150214,17,1339.301389
522.709244,17,1341.06452
521.500083,21,1342.934224
505.074749,30,1345.107944
508.018449,11,1346.733739
514.467959,17,1348.619836
517.076689,27,1350.948411
532.597015,18,1352.759838
522.634411,19,1354.727415
523.220564,19,1356.547218
513.424381,21,1362.207051
507.019713,12,1363.989212
514.777947,15,1365.758403
503.386269,32,1368.113337
523.44258,17,1369.913434
514.624436,13,1371.592217
519.865621,25,1373.577937
529.019319,21,1375.450362
504.168016,26,1377.564156
500.94701,20,1379.40975
517.422312,24,1381.371437
518.000704,20,1383.218012
523.408283,18,1385.025313
508.628709,11,1386.630598
514.306094,14,1388.325951
534.558722,20,1390.591105
515.08329,21,1392.57617
517.951783,15,1397.977051
518.157102,17,1399.777509
524.186513,19,1401.688199
518.372238,17,1403.479797
511.959796,15,1405.265614
508.339648,16,1407.172491
504.73955,19,1409.094127
509.009119,14,1410.87984
510.141737,13,1412.664286
524.409186,24,1414.754298
511.397578,18,1416.586631
510.811306,14,1418.448402
516.079011,20,1420.634382
518.694993,18,1422.504347
513.688975,14,1424.236151
511.020267,12,1425.901456
522.848473,22,1427.825644
526.228258,17,1433.198445
513.644016,17,1435.050143
533.249006,21,1437.067915
516.552846,18,1438.957072
507.037746,41,1441.51253
518.011626,24,1443.533907
509.692372,12,1445.180063
532.497871,23,1447.090904
505.7819,26,1449.251983
514.11118,16,1451.071503
526.41152,16,1452.854446
539.690579,23,1454.923289
513.71343,18,1456.787134
526.584774,21,1458.689267
513.112723,19,1460.555085
521.467489,16,1462.35433
522.752069,21,1464.252466
523.154551,19,1469.657751
528.624543,17,1471.408173
514.1747,15,1473.188974
519.310304,18,1475.002338
501.189631,21,1476.97256
508.415927,12,1478.674212
513.348516,13,1480.318289
522.76862,18,1482.17956
505.189309,12,1483.828109
530.315832,24,1485.852385
512.418476,13,1497.449246
507.840698,11,1499.077312
509.506421,15,1500.92395
504.29206,10,1506.149439
518.370571,17,1507.94223
528.188784,17,1509.760026
516.492096,16,1511.726852
494.887261,21,1513.633318
507.145459,12,1515.373165
508.814604,11,1517.006624
505.200083,19,1518.843789
509.964227,13,1521.086809
539.4234,21,1523.030961
522.823091,17,1524.779208
515.787586,28,1526.864641
514.371141,16,1528.581727
519.029256,17,1530.334
518.758188,15,1532.192553
525.42981,17,1533.971296
541.958278,25,1535.96679
515.409031,20,1541.550507
511.611541,12,1543.214351
527.531495,17,1545.104069
518.210694,15,1549.236425
523.269499,18,1551.101946
510.37939,11,1552.771794
539.915066,22,1554.976869
519.631791,19,1556.884777
484.704351,52,1560.209582
523.414341,17,1562.193698
522.70624,15,1564.081694
512.71556,13,1565.873336
514.659268,17,1567.701086
516.487675,13,1569.425406
505.398346,21,1571.274608
515.137417,16,1573.118881
521.704442,19,1578.59146
521.543663,19,1580.527666
513.98456,13,1582.307268
525.728223,17,1584.088383
533.106151,19,1585.926432
527.202109,20,1587.888012
516.616477,17,1589.76473
512.069088,11,1591.585405
512.091004,11,1593.363969
510.768334,24,1595.387542
519.532868,14,1597.157781
524.229232,19,1599.145921
518.786063,14,1600.922822
514.105045,16,1602.676602
517.117447,13,1604.392899
519.236049,14,1606.154033
521.059557,18,1607.980072
523.417456,17,1609.83525
520.577103,14,1615.386184
508.566111,11,1617.026496
