Episode,Steps,Total_Reward,Avg_Speed_mps,Total_Energy_Wh,Success
0,4,-99.17,31.13,144.04,False
1,18,-132.97,6.23,209.86,False
2,4,1.89,31.13,245.63,True
3,1,-88.54,12.45,4.12,False
4,4,-105.16,31.13,194.84,False
5,2,-116.13,6.23,9.26,False
6,6,-32.59,18.68,199.61,True
7,4,-111.75,31.13,177.91,False
8,6,-99.40,18.68,136.24,False
9,2,-85.58,18.68,18.91,False
10,3,-93.24,24.90,62.20,False
11,1,-113.89,12.45,7.20,False
12,8,-104.04,9.34,114.18,False
13,10,41.40,19.92,289.86,True
14,3,-86.80,24.90,38.21,False
15,5,48.15,36.02,331.81,True
16,3,-90.07,24.90,62.20,False
17,6,-86.15,4.15,32.96,False
18,17,-126.69,4.39,75.63,False
19,8,-96.91,1.56,40.20,False
20,10,19.58,30.46,571.27,True
21,3,-87.13,24.90,46.21,False
22,3,-94.41,24.90,78.19,False
23,5,52.61,24.90,262.57,True
24,2,-81.93,18.68,22.13,False
25,16,-129.11,2.33,98.49,False
26,12,21.28,13.49,411.01,True
27,4,-106.35,31.13,160.97,False
28,3,-97.22,24.90,94.19,False
29,4,65.21,31.13,228.70,True
30,12,60.77,9.34,153.37,True
31,4,-108.20,31.13,144.04,False
32,6,25.84,39.28,608.81,True
33,5,-89.12,14.94,113.87,False
34,2,-85.37,18.68,25.35,False
35,3,-93.35,24.90,70.20,False
36,2,-85.30,18.68,9.26,False
37,5,40.08,36.02,377.98,True
38,17,-120.18,2.93,56.83,False
39,5,-140.83,36.02,377.98,False
40,4,-93.37,18.68,110.18,False
41,23,-136.89,0.54,51.65,False
42,5,91.08,36.02,354.90,True
43,7,61.80,19.56,220.65,True
44,6,34.58,39.28,539.56,True
45,4,-98.15,31.13,110.18,False
46,8,34.71,27.18,502.62,True
47,2,-87.99,18.68,15.69,False
48,4,-105.92,31.13,127.11,False
49,4,63.62,31.13,245.63,True
50,5,60.13,36.02,262.57,True
51,5,45.27,36.02,331.81,True
52,22,-172.93,7.36,404.47,False
53,3,-91.04,24.90,78.19,False
54,6,28.37,39.28,493.39,True
55,2,-87.47,18.68,31.78,False
56,18,-152.09,11.07,364.71,False
57,7,-31.57,16.01,198.86,True
58,5,-52.96,36.02,262.57,True
59,8,-15.80,43.36,955.05,True
60,3,-94.68,24.90,86.19,False
61,4,-2.22,31.13,228.70,True
62,1,-87.66,12.45,5.14,False
63,8,61.34,24.90,355.18,True
64,2,-86.27,18.68,25.35,False
65,3,-87.94,24.90,54.21,False
66,6,-161.40,39.28,585.72,False
67,2,-84.18,18.68,22.13,False
68,7,-45.95,16.01,217.44,True
69,5,35.81,36.02,401.06,True
70,10,-99.30,11.21,276.41,False
71,5,63.92,24.90,262.57,True
72,5,75.55,24.90,262.57,True
73,5,60.93,36.02,262.57,True
74,5,43.28,36.02,308.73,True
75,5,-190.16,36.02,285.65,False
76,5,45.40,36.02,401.06,True
77,5,-117.38,36.02,262.57,False
78,8,-96.62,4.67,51.11,False
79,2,-93.67,18.68,31.78,False
80,2,-88.32,18.68,28.56,False
81,5,-81.72,7.47,29.57,False
82,2,-84.00,18.68,15.69,False
83,2,-85.90,18.68,9.26,False
84,2,-86.76,18.68,12.48,False
85,5,-135.80,36.02,354.90,False
86,1,-107.91,12.45,5.14,False
87,4,-100.21,18.68,110.18,False
88,4,-86.99,31.13,144.04,False
89,8,-110.43,9.34,114.08,False
90,5,37.66,36.02,447.23,True
91,16,-127.67,0.78,26.28,False
92,4,-93.76,31.13,177.91,False
93,5,51.06,36.02,377.98,True
94,11,60.53,10.19,187.78,True
95,8,-87.31,10.89,130.76,False
96,5,57.05,36.02,285.65,True
97,3,-86.14,24.90,46.21,False
98,3,-89.63,24.90,46.21,False
99,4,-108.88,31.13,144.04,False
100,5,51.95,36.02,285.65,True
101,5,62.68,36.02,285.65,True
102,3,-92.44,24.90,70.20,False
103,5,50.41,36.02,377.98,True
104,3,-86.09,12.45,38.21,False
105,5,-134.66,36.02,424.14,False
106,4,-94.63,31.13,110.18,False
107,4,-109.70,31.13,228.70,False
108,3,-91.54,24.90,70.20,False
109,3,-93.83,24.90,70.20,False
110,11,-82.03,10.19,120.61,False
111,2,-81.84,18.68,9.26,False
