Episode,Steps,Total_Reward,Avg_Speed_mps,Total_Energy_Wh,Success
0,6,17.10,31.50,485.59,1
1,12,-0.82,12.51,224.41,1
2,6,11.01,15.97,300.04,1
3,35,-53.13,6.74,781.96,1
4,11,-15.26,0.85,24.48,1
5,12,2.43,13.63,280.55,1
6,6,11.30,12.44,147.68,1
7,12,2.50,9.36,294.11,1
8,13,-6.57,14.77,408.21,1
9,3,25.58,31.18,450.72,1
10,8,14.42,21.74,564.56,1
11,6,12.14,21.62,201.39,1
12,9,6.58,15.86,294.11,1
13,4,2.71,0.00,3.00,1
14,9,2.82,11.34,189.47,1
15,13,-16.67,8.68,148.72,1
16,6,12.25,15.02,215.33,1
17,5,14.37,21.51,177.02,1
18,23,-26.08,5.65,246.42,1
19,6,8.60,19.38,104.63,1
20,3,11.46,31.95,188.18,1
21,4,10.40,31.42,152.60,1
22,19,-15.33,12.30,440.22,1
23,9,1.82,11.30,136.09,1
24,4,19.39,46.81,504.61,1
25,4,9.41,24.27,280.48,1
26,6,4.04,13.65,128.40,1
27,10,-10.10,5.93,144.99,1
28,14,-21.86,4.44,88.70,1
29,26,-60.57,0.88,163.81,1
30,7,-8.49,4.15,84.93,1
31,5,3.31,13.72,144.03,1
32,12,-14.08,7.05,197.75,1
33,6,6.37,15.70,137.79,1
34,5,-2.61,0.00,7.96,1
35,9,-6.79,4.72,68.45,1
36,10,-4.88,5.59,111.45,1
37,10,7.90,15.22,252.76,1
38,2,14.54,17.76,63.70,1
39,3,5.93,8.11,28.64,1
40,3,4.67,4.56,19.81,1
41,14,-19.99,0.74,19.42,1
42,7,19.95,38.09,795.07,1
43,16,-11.14,9.90,312.18,1
44,6,8.58,4.72,225.68,1
45,5,3.56,13.21,138.56,1
46,25,-50.98,6.87,225.30,1
47,10,-15.96,3.54,110.95,1
48,10,-4.91,14.53,298.45,1
49,9,2.61,15.24,359.34,1
50,4,18.67,25.50,248.03,1
51,4,-1.14,0.06,7.77,1
52,3,2.23,0.03,2.05,1
53,5,22.53,39.01,698.83,1
54,11,-10.10,0.82,17.71,1
55,12,-3.03,14.23,546.80,1
56,3,16.53,15.93,134.31,1
57,6,-4.91,0.04,67.93,1
58,9,5.94,11.35,176.31,1
59,6,11.20,13.52,171.41,1
60,11,-9.26,6.53,144.28,1
61,22,-8.32,8.72,696.70,1
62,6,16.38,29.20,380.73,1
63,36,-72.65,3.38,170.20,1
64,3,16.67,37.43,247.22,1
65,3,15.72,41.15,108.85,1
66,6,11.27,24.53,312.74,1
67,7,13.33,24.12,297.83,1
68,21,0.70,14.51,733.55,1
69,5,24.90,31.62,289.54,1
70,12,-1.58,14.63,326.72,1
71,8,4.11,18.85,338.37,1
72,9,-4.21,6.29,95.50,1
73,2,14.31,44.28,191.83,1
74,16,-20.23,1.86,86.93,1
75,17,-14.73,9.36,234.78,1
76,6,16.78,33.26,374.23,1
77,5,13.88,29.08,406.38,1
78,24,-22.43,7.72,623.15,1
79,49,-142.59,1.57,215.49,1
80,6,7.92,3.63,119.80,1
81,11,3.62,16.40,343.30,1
82,4,-3.91,0.00,23.35,1
83,16,27.27,24.88,1047.75,1
84,4,14.77,32.18,272.73,1
85,6,7.57,23.27,133.75,1
86,6,27.61,33.81,436.02,1
87,6,15.20,14.66,303.07,1
88,5,15.70,25.56,230.50,1
89,10,-11.01,2.90,31.76,1
90,2,10.11,0.00,13.61,1
91,5,11.78,4.03,183.98,1
92,6,9.88,20.28,229.38,1
93,8,17.39,15.85,381.97,1
94,11,13.89,18.84,577.87,1
95,13,-19.50,7.68,109.88,1
96,4,2.64,4.41,32.80,1
97,15,9.18,22.15,817.54,1
98,5,10.73,15.50,127.38,1
99,14,-3.52,19.06,513.73,1
100,11,-1.19,17.10,532.68,1
101,3,7.00,11.71,125.40,1
102,29,-62.75,0.52,142.57,1
103,25,-23.75,10.12,525.61,1
104,15,-34.79,0.38,66.28,1
105,9,-1.77,15.17,253.01,1
106,8,11.91,17.84,381.48,1
107,11,-1.11,12.28,283.91,1
108,5,8.35,6.23,28.02,1
109,5,-2.73,1.07,21.51,1
110,10,2.67,11.23,225.99,1
111,3,27.75,46.11,426.98,1
112,10,-14.59,1.91,37.81,1
113,4,19.81,37.21,244.47,1
114,10,10.33,19.33,418.50,1
115,8,6.85,22.74,405.22,1
116,21,-31.49,7.30,175.67,1
117,11,21.45,20.74,664.20,1
118,3,21.26,49.56,326.53,1
119,6,10.68,22.56,285.42,1
120,8,6.35,18.50,218.96,1
121,4,10.78,18.83,95.24,1
122,4,7.91,1.10,91.13,1
123,33,-93.75,0.25,83.93,1
124,9,7.02,23.09,370.59,1
125,5,15.26,23.33,176.35,1
126,2,17.36,47.75,200.03,1
127,11,-11.70,8.92,165.94,1
128,4,12.69,31.28,274.45,1
129,8,-5.98,6.64,70.22,1
130,4,20.42,34.65,323.31,1
131,4,20.90,34.99,371.20,1
132,9,-14.82,2.39,41.47,1
133,5,1.75,13.75,127.69,1
134,2,18.73,43.19,230.21,1
135,5,7.71,21.23,124.44,1
136,6,3.62,12.15,139.95,1
137,12,-3.66,8.38,313.49,1
138,4,18.58,33.08,342.04,1
139,31,-75.91,0.00,40.92,1
140,8,2.67,5.45,58.16,1
141,10,-6.89,7.80,144.40,1
142,24,-56.26,0.46,55.24,1
143,5,-0.87,0.00,76.97,1
144,25,-55.01,3.28,182.51,1
145,2,16.18,41.95,175.50,1
146,19,-33.29,0.80,71.76,1
147,17,-17.35,12.86,437.14,1
148,2,13.31,40.93,113.22,1
149,8,4.32,20.35,241.21,1
150,6,27.93,27.18,377.97,1
151,10,9.71,11.45,81.13,1
152,8,7.01,12.05,134.70,1
153,5,15.49,26.46,273.18,1
154,6,-1.94,9.37,108.39,1
155,3,17.18,29.91,175.45,1
156,2,19.30,45.36,246.60,1
157,4,13.68,24.27,257.39,1
158,5,17.17,28.97,426.52,1
159,5,13.82,8.76,101.43,1
160,10,-5.72,9.62,248.65,1
161,34,-75.38,0.00,185.98,1
162,6,13.44,18.24,207.98,1
163,6,2.46,14.93,121.57,1
164,3,15.33,43.05,271.83,1
165,3,15.26,50.90,324.64,1
166,12,-7.29,13.23,141.41,1
167,10,1.91,18.48,406.25,1
168,5,6.07,14.35,71.15,1
169,10,9.60,17.79,437.54,1
170,6,2.06,23.23,294.46,1
171,11,-9.41,1.29,34.75,1
172,5,9.75,20.17,186.91,1
173,3,11.04,30.21,127.42,1
174,6,9.30,21.36,180.35,1
175,7,3.10,21.33,289.97,1
176,8,-0.99,15.50,199.41,1
177,13,-11.01,11.43,204.80,1
178,13,-20.69,7.49,204.66,1
179,13,-17.24,8.62,193.50,1
180,3,22.24,50.90,486.22,1
181,5,2.32,8.77,49.99,1
182,3,19.11,43.77,198.14,1
183,4,17.21,38.49,468.39,1
184,15,-4.91,12.93,330.58,1
185,10,11.06,10.93,325.20,1
186,16,-4.59,11.53,385.04,1
187,27,-46.32,5.11,384.51,1
188,2,15.00,48.55,278.48,1
189,3,11.78,24.70,181.21,1
190,5,11.17,16.00,110.31,1
191,17,-32.96,4.01,148.51,1
192,21,-13.92,10.31,341.30,1
193,4,10.40,19.24,120.00,1
194,3,16.59,44.03,274.56,1
195,14,-28.46,0.00,12.90,1
196,5,14.20,24.95,379.84,1
197,9,0.29,9.14,144.86,1
198,10,-13.70,3.50,43.02,1
199,3,23.11,46.77,336.29,1
200,15,-5.47,9.80,388.82,1
201,6,22.00,32.75,310.75,1
202,20,-52.23,4.48,91.08,1
203,13,-5.23,6.78,287.99,1
204,21,-49.53,5.15,182.32,1
205,16,-26.48,5.45,318.87,1
206,5,18.95,24.20,318.28,1
207,5,4.69,18.70,136.03,1
208,16,-0.62,13.00,706.31,1
209,5,17.70,39.88,607.57,1
210,2,18.05,48.55,186.14,1
211,9,-11.29,6.86,88.38,1
212,13,-5.82,14.33,422.34,1
213,6,25.19,34.60,512.09,1
214,20,-30.51,4.70,178.73,1
215,7,4.34,12.10,221.81,1
216,6,23.23,43.98,814.42,1
217,3,20.66,47.37,379.23,1
218,10,-3.17,7.55,94.36,1
219,8,4.44,9.57,169.56,1
220,5,8.78,0.84,47.52,1
221,17,-7.88,9.69,363.47,1
222,13,-14.40,9.54,372.26,1
223,4,6.55,6.70,98.12,1
224,7,26.63,35.69,610.74,1
225,5,4.10,12.63,58.01,1
226,8,7.11,21.43,333.54,1
227,11,-13.94,3.10,73.16,1
228,5,12.16,15.13,188.88,1
229,11,4.17,13.91,290.14,1
230,9,-5.52,12.57,151.11,1
231,10,-12.02,10.55,147.43,1
232,9,-4.57,9.11,220.95,1
233,6,3.84,6.25,79.82,1
234,10,-7.43,4.85,146.80,1
235,6,6.61,9.02,113.62,1
236,15,-8.70,6.19,256.47,1
237,18,-31.27,3.38,138.10,1
238,13,-25.69,0.34,55.63,1
239,6,9.99,26.35,314.87,1
240,15,-17.34,5.12,310.04,1
241,5,16.33,31.90,374.49,1
242,14,-29.01,8.40,214.59,1
243,4,14.07,24.95,159.12,1
244,2,14.93,47.05,239.16,1
245,4,12.26,16.24,279.70,1
246,5,-1.24,15.15,80.58,1
247,7,2.72,15.38,220.56,1
248,20,-21.23,7.76,341.46,1
249,9,5.23,14.19,175.71,1
250,2,7.26,0.00,6.97,1
251,10,10.59,14.32,531.16,1
252,11,-8.76,4.81,93.13,1
253,2,14.67,46.82,190.74,1
254,2,21.92,44.43,211.88,1
255,6,1.27,0.00,52.20,1
256,3,6.56,0.00,74.97,1
257,19,-26.24,9.41,345.35,1
258,6,16.65,13.64,269.83,1
259,15,-20.22,7.55,194.60,1
260,14,-22.62,13.09,220.86,1
261,8,1.31,11.10,52.59,1
262,5,3.91,18.79,225.00,1
263,5,8.71,7.74,169.24,1
264,4,14.01,25.71,220.60,1
265,8,11.34,11.68,253.77,1
266,6,11.48,23.10,213.61,1
267,5,4.27,19.53,167.35,1
268,4,10.37,25.07,143.40,1
269,20,-23.69,7.37,682.00,1
270,7,9.39,23.41,428.65,1
271,9,12.33,23.41,574.57,1
272,7,10.04,18.95,220.69,1
273,14,-9.12,10.36,308.95,1
274,6,6.27,11.09,147.77,1
275,7,-0.87,7.09,128.64,1
276,7,2.43,10.69,161.44,1
277,22,-33.21,7.79,259.38,1
278,16,-11.85,6.80,208.28,1
279,9,16.65,23.19,622.86,1
280,3,11.10,3.85,40.57,1
281,8,17.77,23.25,406.78,1
282,2,15.92,48.55,209.23,1
283,4,19.38,34.65,303.94,1
284,5,9.30,11.79,189.64,1
285,14,-9.14,12.58,220.69,1
286,14,0.72,10.50,501.38,1
287,6,9.43,14.41,249.82,1
288,7,6.25,16.42,126.90,1
289,15,-10.46,6.86,417.17,1
290,12,-12.88,7.15,357.31,1
291,6,9.39,20.13,122.86,1
292,12,-3.89,11.43,523.01,1
293,13,4.27,13.07,312.50,1
294,4,4.85,0.00,21.15,1
295,12,5.36,10.63,452.52,1
296,5,5.86,8.75,133.01,1
297,3,24.30,49.38,441.57,1
298,10,2.93,15.27,354.72,1
299,19,-36.82,4.57,280.63,1
300,10,-12.09,11.32,163.05,1
301,3,24.39,50.75,345.07,1
302,8,8.76,13.50,174.20,1
303,3,17.73,41.63,285.55,1
304,4,6.50,19.12,125.86,1
305,13,-7.67,9.67,288.24,1
306,9,4.54,16.65,304.53,1
307,4,14.39,12.97,133.44,1
308,3,13.17,30.71,253.87,1
309,13,-9.87,8.79,199.96,1
310,4,13.33,10.38,242.10,1
311,4,21.35,52.07,670.88,1
312,6,11.28,19.61,314.97,1
313,11,6.25,26.19,564.59,1
314,6,11.44,27.08,377.17,1
315,2,7.05,0.00,36.21,1
316,5,8.96,15.83,138.65,1
317,5,11.66,27.11,201.71,1
318,16,-16.68,8.31,303.90,1
319,5,18.48,30.54,418.97,1
320,2,17.13,48.38,275.23,1
321,4,8.08,27.57,145.93,1
322,17,-17.92,8.57,428.02,1
323,19,-45.49,1.37,112.26,1
324,12,-0.66,15.05,435.11,1
325,7,30.48,31.72,513.55,1
326,6,2.85,18.88,228.99,1
327,3,16.24,50.90,370.81,1
328,7,3.28,16.34,141.29,1
329,9,16.78,26.24,624.30,1
330,13,-12.87,3.21,141.38,1
331,7,4.92,9.52,186.15,1
332,16,-1.01,10.65,379.47,1
333,5,9.36,21.18,272.09,1
334,4,22.10,42.32,375.26,1
335,4,11.79,34.65,333.73,1
336,13,-3.51,8.89,193.80,1
337,7,-8.82,1.87,14.80,1
338,7,-1.78,17.26,187.15,1
339,7,22.55,31.17,499.47,1
340,4,18.96,28.33,292.89,1
341,10,-6.03,12.86,185.80,1
342,7,9.57,12.50,108.52,1
343,4,15.00,24.27,280.48,1
344,9,-0.04,9.50,165.47,1
345,14,-26.41,2.38,110.37,1
346,12,2.21,9.73,305.86,1
347,5,10.83,31.05,312.87,1
348,4,13.53,34.78,453.21,1
349,9,-0.99,7.79,197.92,1
350,3,20.53,50.90,393.89,1
351,2,11.29,20.75,84.39,1
352,4,26.24,40.06,279.24,1
353,4,10.63,24.38,143.42,1
354,10,-5.08,6.82,123.87,1
355,9,32.07,35.90,706.22,1
356,10,21.97,31.67,776.79,1
357,6,-1.49,5.15,96.16,1
358,4,1.46,0.00,22.30,1
359,6,17.04,31.30,495.51,1
360,8,-0.56,14.15,112.99,1
361,7,14.63,29.84,598.01,1
362,5,10.76,16.60,140.12,1
363,19,-33.97,6.28,187.04,1
364,10,11.60,16.38,338.15,1
365,8,6.26,10.55,132.95,1
366,9,7.00,16.92,290.27,1
367,7,9.38,19.76,421.24,1
368,8,10.51,24.01,287.59,1
369,7,12.82,16.86,157.37,1
370,6,14.42,29.88,451.99,1
371,6,4.36,19.84,132.92,1
372,9,-2.30,11.49,97.95,1
373,6,7.82,14.51,284.52,1
374,7,10.14,22.18,331.45,1
375,4,9.33,3.49,10.94,1
376,6,17.80,9.69,295.46,1
377,6,8.67,20.59,124.57,1
378,7,7.36,18.36,323.86,1
379,8,2.61,14.40,184.49,1
380,2,16.88,48.55,278.48,1
381,8,-6.09,7.45,145.56,1
382,10,-2.18,12.50,295.97,1
383,2,18.32,48.55,278.48,1
384,11,4.81,10.54,292.61,1
385,11,-18.81,0.75,88.88,1
386,14,-21.97,0.00,140.96,1
387,3,17.29,28.55,250.26,1
388,3,20.79,48.81,339.37,1
389,6,14.47,29.11,278.89,1
390,6,18.17,35.60,618.35,1
391,3,9.47,14.60,51.24,1
392,18,-10.42,7.70,520.33,1
393,9,12.32,20.27,441.82,1
394,18,-16.60,7.72,393.82,1
395,4,23.75,44.31,406.16,1
396,10,-16.45,1.06,15.60,1
397,4,17.10,26.21,181.70,1
398,5,10.35,27.72,189.53,1
399,12,-17.63,7.28,167.64,1
400,11,-7.30,8.98,250.17,1
401,4,6.31,9.18,32.29,1
402,6,16.36,22.18,205.92,1
403,3,2.54,0.00,32.46,1
404,3,8.55,0.00,5.32,1
405,5,-0.82,13.02,87.73,1
406,8,-2.78,5.19,91.87,1
407,6,21.51,35.20,573.81,1
408,5,20.12,40.30,477.29,1
409,7,-1.59,15.26,218.07,1
410,6,4.49,5.17,33.38,1
411,5,24.18,47.78,867.91,1
412,6,23.26,39.93,672.91,1
413,6,13.68,22.34,420.06,1
414,33,-75.36,3.96,376.02,1
415,8,7.29,21.02,384.25,1
416,6,13.78,22.30,162.81,1
417,10,9.73,16.31,434.96,1
418,6,16.20,18.86,271.62,1
419,6,21.55,34.68,469.06,1
420,10,11.17,18.20,369.77,1
421,6,12.32,24.33,240.81,1
422,9,-1.84,15.29,312.49,1
423,5,17.20,36.21,433.77,1
424,5,11.54,31.33,182.23,1
425,6,8.49,21.03,383.27,1
426,12,-11.77,14.24,384.30,1
427,15,-4.97,11.83,438.44,1
428,10,-0.04,13.83,206.81,1
429,6,21.20,37.98,573.13,1
430,5,-5.20,0.90,6.24,1
431,5,4.26,10.53,196.69,1
432,3,20.77,48.85,289.53,1
433,5,-4.17,5.37,38.81,1
434,21,-10.94,11.22,541.44,1
435,6,7.51,10.02,182.80,1
436,11,3.02,9.55,117.86,1
437,5,14.57,22.64,246.39,1
438,4,24.78,43.19,525.41,1
439,4,11.99,24.27,280.48,1
440,7,-1.34,5.06,53.12,1
441,6,9.07,9.40,74.18,1
442,9,-2.13,2.23,56.26,1
443,2,5.05,0.00,5.96,1
444,8,12.71,23.46,423.35,1
445,4,18.24,33.32,253.65,1
446,15,6.05,12.34,201.07,1
447,4,27.32,52.07,720.47,1
448,11,-1.32,8.17,179.54,1
449,13,-12.38,8.90,211.28,1
450,6,2.82,22.76,333.12,1
451,5,14.18,27.72,324.31,1
452,4,7.02,26.51,185.22,1
453,9,1.78,11.92,104.04,1
454,3,17.22,47.32,289.93,1
455,11,-6.14,14.30,242.09,1
456,15,-3.31,5.53,519.42,1
457,13,-6.88,9.48,206.34,1
458,16,-26.24,2.59,107.82,1
459,4,11.39,30.21,159.85,1
460,7,-8.62,9.16,102.68,1
461,12,-8.32,9.42,169.28,1
462,3,18.52,39.62,228.38,1
463,3,19.66,50.90,393.89,1
464,9,11.55,7.96,299.18,1
465,17,-15.89,13.18,403.82,1
466,4,-2.53,0.00,23.85,1
467,5,6.56,21.89,104.31,1
468,3,13.47,32.37,171.85,1
469,13,2.06,10.66,515.16,1
470,7,2.12,11.06,143.71,1
471,8,12.82,16.90,255.82,1
472,3,19.51,32.37,301.56,1
473,5,15.11,4.85,139.37,1
474,7,6.33,19.60,426.84,1
475,14,-6.46,10.73,373.25,1
476,2,10.68,20.75,115.30,1
477,3,17.81,28.46,189.86,1
478,4,19.58,28.32,314.98,1
479,12,-16.13,1.92,34.81,1
480,9,21.95,29.16,497.66,1
481,10,-8.69,6.52,137.37,1
482,9,8.59,18.99,342.03,1
483,3,14.45,38.33,178.05,1
484,4,7.55,20.75,158.26,1
485,6,10.48,16.09,305.40,1
486,9,1.64,18.53,407.78,1
487,4,7.25,19.52,187.24,1
488,3,12.33,43.56,249.09,1
489,17,-5.31,11.65,558.29,1
490,5,1.34,16.60,127.99,1
491,13,5.65,13.88,364.42,1
492,4,9.17,24.27,246.97,1
493,23,-48.34,3.93,178.80,1
494,6,5.36,14.54,98.77,1
495,19,-2.37,14.65,718.45,1
496,2,18.09,48.55,232.31,1
497,3,17.35,37.90,278.83,1
498,21,-21.78,12.25,509.44,1
499,5,8.02,9.75,95.26,1
500,36,-74.89,0.90,59.84,1
501,3,26.05,50.56,383.17,1
502,18,-30.90,2.10,125.20,1
503,6,17.12,15.79,169.95,1
504,9,-9.87,4.26,89.38,1
505,3,19.18,32.37,301.56,1
506,6,5.24,6.25,74.04,1
507,3,8.86,0.81,5.91,1
508,3,14.95,32.37,301.56,1
509,10,12.64,16.45,491.94,1
510,6,3.99,17.58,158.08,1
511,7,5.47,8.64,233.22,1
512,8,7.02,17.44,390.60,1
513,3,18.19,33.74,104.31,1
514,8,16.64,23.19,371.74,1
515,6,8.44,9.37,198.65,1
516,3,15.91,50.90,324.64,1
517,5,20.10,32.79,383.87,1
518,3,19.07,49.75,340.03,1
519,7,11.71,8.55,187.44,1
520,19,-18.56,13.57,588.12,1
521,6,1.04,0.80,7.43,1
522,7,22.85,32.02,827.36,1
523,6,8.12,27.48,298.09,1
524,13,-21.53,3.64,152.98,1
525,5,23.59,36.67,435.12,1
526,4,11.88,19.99,157.02,1
527,4,1.67,0.00,23.85,1
528,6,2.33,20.60,197.61,1
529,9,13.72,17.38,422.95,1
530,13,2.31,15.19,510.64,1
531,21,-34.80,8.05,245.38,1
532,10,-15.09,0.00,60.52,1
533,6,12.76,23.44,371.99,1
534,13,-3.65,10.32,296.02,1
535,10,-5.20,7.85,114.37,1
536,2,15.27,48.55,93.81,1
537,6,11.04,17.33,390.62,1
538,6,11.15,22.02,396.33,1
539,16,-17.33,6.04,307.60,1
540,4,5.24,10.38,154.25,1
541,6,13.20,17.73,247.90,1
542,3,17.88,32.37,279.48,1
543,3,22.00,48.41,357.57,1
544,10,3.33,8.90,206.16,1
545,9,16.05,28.44,417.64,1
546,13,-19.22,1.66,101.85,1
547,9,5.84,16.81,192.33,1
548,5,16.92,17.87,245.29,1
549,4,21.20,38.94,292.84,1
550,4,13.71,11.50,106.11,1
551,3,11.17,32.37,140.98,1
552,4,11.67,15.26,93.31,1
553,9,31.05,34.19,814.95,1
554,6,2.11,5.29,46.16,1
555,5,12.85,24.35,174.59,1
556,9,9.57,16.99,370.87,1
557,6,15.21,32.64,461.45,1
558,7,-0.02,13.95,118.61,1
559,17,15.05,16.37,663.97,1
560,11,-11.57,1.00,48.29,1
561,4,30.14,44.96,563.11,1
562,5,9.85,25.48,201.58,1
563,17,-26.57,8.49,209.25,1
564,7,21.05,25.71,282.12,1
565,16,-13.38,12.91,485.42,1
566,2,18.57,48.55,209.23,1
567,5,11.38,16.60,189.84,1
568,16,-33.81,0.00,33.24,1
569,3,10.69,25.08,132.39,1
570,4,13.98,28.29,294.90,1
571,10,14.48,22.74,638.70,1
572,9,17.52,20.72,546.88,1
573,5,12.94,26.44,249.93,1
574,5,13.12,14.89,78.16,1
575,7,22.96,32.70,447.67,1
576,5,16.68,22.73,205.91,1
577,3,20.00,30.12,238.53,1
578,3,17.47,48.44,288.70,1
579,7,21.22,20.39,493.63,1
580,3,7.09,0.00,64.54,1
581,4,10.70,3.91,130.16,1
582,11,5.99,8.72,276.67,1
583,6,-0.40,2.24,45.62,1
584,4,14.44,12.59,208.15,1
585,7,-11.78,0.00,11.52,1
586,6,19.72,35.97,554.13,1
587,39,-98.54,1.90,182.82,1
