Episode,Steps,Total_Reward,Avg_Speed_mps,Total_Energy_Wh,Success
0,5,-12.64,151.72,118.94,False
1,8,-30.54,30.05,29.17,False
2,7,-7.52,131.51,217.20,False
3,10,-22.97,99.49,156.03,False
4,5,-15.24,67.79,18.01,False
5,17,-17.27,76.29,272.24,True
6,3,14.94,330.70,224.87,True
7,16,-26.05,63.35,180.34,True
8,6,-26.66,26.55,11.57,False
9,8,22.62,211.12,378.53,True
10,3,-15.29,78.47,32.75,False
11,6,-8.43,120.97,115.71,False
12,3,19.33,365.58,366.59,True
13,9,6.48,124.86,317.04,True
14,10,1.35,94.42,87.31,True
15,7,-1.80,86.49,84.84,True
