Episode,Steps,Total_Reward,Avg_Speed_mps,Total_Energy_Wh,Success
0,12,-107.10,4.34,115.87,False
1,22,46.39,9.74,205.70,True
2,7,-95.91,7.56,29.98,False
3,7,-116.12,7.16,87.34,False
4,4,-104.77,23.81,92.03,False
5,3,-98.83,0.00,2.00,False
6,8,-107.35,0.00,24.46,False
7,13,-107.21,9.18,117.56,False
8,4,-104.93,15.11,49.67,False
9,12,69.48,10.27,133.44,True
10,4,-91.68,14.99,49.00,False
11,8,-120.22,15.57,200.54,False
12,4,-124.33,49.35,596.90,False
13,15,-142.99,8.37,192.33,False
14,11,-142.71,13.64,251.97,False
15,9,-79.73,14.68,335.19,True
16,14,-97.35,10.83,168.69,False
17,7,-145.94,24.03,426.94,False
18,12,54.43,19.21,319.30,True
19,4,-93.72,6.89,11.63,False
20,16,-130.32,0.73,80.09,False
21,10,-131.77,2.34,55.85,False
22,3,-101.04,13.83,12.42,False
23,4,-101.79,10.38,34.27,False
24,8,-54.23,19.92,473.19,True
25,9,-56.89,15.20,305.48,True
26,3,-106.41,48.05,307.22,False
27,7,39.50,19.68,351.93,True
28,10,-120.02,0.00,19.70,False
29,9,-97.76,9.11,169.25,False
30,11,10.81,15.38,506.81,True
31,7,-107.20,3.87,21.18,False
32,5,-108.17,22.34,83.21,False
33,6,-88.42,16.56,152.12,False
34,10,58.57,16.75,212.95,True
35,5,-35.79,33.00,327.35,True
36,4,-104.00,18.18,61.00,False
37,4,-129.30,39.33,241.66,False
38,8,-122.39,13.89,223.39,False
39,4,-104.99,9.61,215.23,False
40,4,31.20,47.06,552.58,True
41,9,-105.47,4.32,41.21,False
42,3,-92.89,18.29,27.15,False
43,7,0.04,30.87,587.11,True
44,7,58.37,19.36,219.51,True
45,6,12.07,28.46,521.87,True
46,6,-113.55,6.43,5.00,False
47,4,24.82,47.36,435.66,True
48,10,32.12,18.27,284.67,True
49,8,-111.85,12.00,82.23,False
50,3,-109.74,49.88,492.72,False
51,6,-108.53,22.85,393.36,False
52,4,-113.20,10.38,65.54,False
53,4,-113.04,31.95,128.67,False
54,4,-111.00,10.38,75.97,False
55,6,30.34,25.45,373.81,True
56,3,-183.64,39.96,292.26,False
57,19,43.05,8.84,223.74,True
58,3,50.62,42.11,324.02,True
59,3,-94.36,19.04,22.91,False
60,4,-92.78,11.57,18.81,False
61,10,-128.49,3.61,44.27,False
62,5,-91.44,3.00,15.08,False
63,13,-124.86,10.27,127.85,False
64,11,-132.09,8.50,201.82,False
65,2,-110.59,38.97,131.35,False
66,6,-117.95,6.42,65.47,False
67,16,-74.34,8.09,143.92,True
