Episode,Steps,Total_Reward,Avg_Speed_mps,Total_Energy_Wh,Success
169,5,12.18,16.49,134.42,True
170,8,-30.61,5.19,38.27,False
171,3,-12.89,10.07,16.56,False
172,12,-27.48,9.10,189.01,False
173,9,-22.54,8.32,267.89,False
174,5,-9.01,28.17,165.87,False
175,11,-34.12,3.77,102.72,False
176,15,-52.16,2.83,77.16,False
177,4,-17.12,14.32,40.46,False
178,6,-24.31,11.20,63.23,False
179,10,-22.57,2.60,154.34,False
180,10,-2.79,9.70,113.98,True
181,7,9.66,20.46,239.49,True
182,4,-18.09,17.70,14.05,False
183,7,-22.98,6.27,28.47,False
184,8,6.93,16.84,255.01,True
185,6,-17.09,20.23,223.52,False
186,4,-17.32,0.00,4.44,False
187,5,-15.62,4.86,13.20,False
188,3,22.83,44.58,289.52,True
189,6,21.36,28.30,443.78,True
190,10,-22.65,10.43,131.03,False
191,5,-24.68,8.30,14.42,False
192,9,1.39,17.84,200.57,True
193,8,5.63,25.35,341.66,False
194,14,-30.99,6.85,114.86,False
195,10,0.33,16.08,377.51,True
196,5,-20.95,13.69,35.63,False
197,15,-39.42,2.66,68.60,False
198,6,30.62,40.83,612.17,True
199,8,-20.81,10.48,216.83,False
200,11,-34.47,6.81,134.60,False
201,13,-41.12,4.39,84.86,False
202,7,13.62,20.07,151.38,True
203,4,-5.78,18.61,85.95,False
204,8,-7.45,12.14,145.98,True
205,3,-17.00,0.00,2.00,False
206,9,-11.39,14.21,133.82,True
207,7,11.25,19.56,123.33,True
208,10,8.60,13.35,139.84,True
209,4,-5.99,24.27,118.90,False
210,9,0.85,7.53,190.90,True
211,4,-14.64,5.47,9.21,False
212,5,-0.20,30.54,521.84,False
213,2,12.60,37.90,157.37,True
214,3,17.68,42.14,163.09,True
215,13,-34.23,0.00,73.85,False
216,2,-8.15,18.67,19.93,False
217,15,-29.90,10.13,282.46,False
218,6,-24.20,10.07,144.75,False
219,3,15.39,41.70,188.61,True
220,3,-14.00,0.00,2.00,False
221,14,-52.54,2.96,127.58,False
222,5,-2.11,37.14,483.00,False
223,7,-35.04,0.00,6.00,False
224,3,9.89,29.97,128.44,True
225,4,-17.36,23.62,100.82,False
226,6,13.62,32.08,441.26,True
227,28,-43.46,5.39,121.06,True
228,6,-18.07,16.18,259.39,False
229,8,1.79,12.06,99.36,True
230,5,-11.94,25.85,295.02,False
231,7,-10.34,19.39,254.70,False
232,5,8.16,16.90,116.18,True
233,7,9.28,21.68,392.56,True
234,3,10.06,26.70,90.07,True
235,4,-14.38,10.47,34.50,False
236,6,-21.74,7.64,47.34,False
237,3,19.56,45.37,421.39,True
238,2,20.66,48.55,232.31,True
239,4,-17.66,10.84,77.84,False
240,5,13.69,30.54,349.72,True
241,4,20.95,34.51,263.06,True
242,9,-24.97,4.12,42.60,False
243,5,13.13,15.23,259.05,True
244,8,-20.67,13.48,160.39,False
245,6,-16.95,16.69,101.02,False
246,2,-14.48,20.75,1.00,False
247,10,-39.07,4.15,40.27,False
248,10,-6.72,11.50,218.83,True
249,6,13.52,24.85,280.49,True
250,13,-44.54,6.97,98.29,False
251,4,13.91,35.06,323.14,True
252,3,-13.08,7.21,14.23,False
253,6,-23.63,3.92,9.44,False
254,3,-16.67,9.13,21.59,False
255,5,-18.28,14.52,40.65,False
256,12,-16.10,8.16,57.70,True
257,11,-31.27,5.23,71.85,False
258,7,-31.04,5.44,6.00,False
259,6,-17.04,9.29,94.93,False
260,8,13.52,26.98,542.11,True
261,14,-7.47,9.04,327.40,True
262,14,-52.92,3.97,16.40,False
